,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.03,1.1,0.93,1.18,1.34,1.6,1.03,1.02,1.17,1.07,1.31,1.21,,1.16,,1.47,1.74,1.09,1.74,1.09,1.77,1.77,,1.77,,1.76,,1.7,1.37
ENE,1.09,1.04,1.05,1.08,,1.4,0.97,1.19,,,1.5,1.21,0.96,1.06,,,1.77,1.16,1.77,1.14,1.81,1.81,,1.81,,1.81,,1.74,1.41
ESE,1.26,1.42,1.02,1.37,1.18,1.16,1.13,1.0,1.22,0.9,,1.4,,,1.14,,1.91,1.11,1.91,1.07,1.91,1.91,,1.91,,1.91,,1.85,1.4
NE,1.26,1.08,1.48,1.0,,,1.05,1.38,,,,1.03,1.25,1.0,,,1.89,1.41,1.9,1.37,1.96,1.97,,1.96,,1.97,,1.89,1.48
SSW,2.12,,2.0,,0.95,1.04,,1.42,1.0,1.07,1.0,,,,,0.87,1.96,1.45,1.97,1.42,2.03,2.03,,2.03,,2.03,,1.99,1.36
SW,1.72,1.93,2.27,,1.04,0.95,,1.27,1.3,1.54,0.91,,,,1.23,0.79,1.95,1.76,2.01,1.2,2.04,2.04,,2.05,,2.04,,2.01,1.34
NNE,1.7,1.36,2.13,1.12,,,0.98,,,,,0.92,1.33,1.17,,,2.04,1.61,2.08,1.39,2.14,2.14,,2.13,,2.13,,2.05,1.65
SE,1.62,1.77,1.24,1.67,1.25,1.75,,0.97,1.01,1.03,,,,,,,2.12,1.38,2.13,1.32,2.15,2.15,,2.15,,2.15,,2.07,1.63
S,2.05,,1.49,,1.02,1.08,,1.52,1.0,1.13,1.04,,,,,,2.09,1.55,2.12,1.37,2.16,2.15,,2.15,,2.15,,2.14,1.35
SSE,1.81,,1.64,,1.35,1.08,,1.1,1.0,1.0,,,,,,,2.21,1.32,2.22,1.28,2.22,2.22,,2.22,,2.22,,2.16,1.57
WSW,1.83,1.82,,,1.48,1.18,,,1.75,,0.91,,,,,0.73,2.14,1.67,2.14,1.87,2.23,2.23,,2.23,,2.23,,2.16,1.59
N,1.59,1.27,1.56,1.31,,,1.26,,,,,0.96,1.1,0.98,1.14,,2.17,1.49,2.15,1.63,2.24,2.24,,2.24,,2.24,,2.18,1.54
NW,,2.23,,1.76,,,1.52,,,,,1.43,0.89,0.91,0.82,1.21,2.31,,2.32,,2.42,2.43,,2.42,,2.43,,2.48,1.45
NNW,1.66,1.89,,1.84,,,1.2,,,,,1.36,1.06,0.95,1.19,,2.41,2.59,2.45,,2.56,2.56,,2.59,,2.54,,2.57,1.59
WNW,,,1.67,,,1.63,,,,,,1.53,1.2,1.09,0.96,1.44,2.54,2.15,2.55,,2.67,2.67,,2.67,,2.67,,2.69,1.65
W,1.42,,,,2.16,2.08,,,,,1.42,,1.26,,0.85,1.0,2.56,2.21,2.54,,2.7,2.7,,2.69,,2.69,,2.6,2.01
PM2.5_0,0.72,0.7,0.69,0.65,0.65,0.65,0.63,0.64,0.64,0.62,0.6,0.6,0.57,0.56,0.54,0.54,0.99,1.0,1.0,0.77,1.05,1.05,,1.04,0.38,1.04,0.41,1.01,0.75
PM2.5_1,1.21,1.22,1.08,1.32,1.14,1.12,1.12,0.96,0.97,1.0,1.17,1.11,,0.88,1.03,0.97,2.5,0.81,1.93,0.85,1.8,1.8,,1.79,,1.8,,1.77,1.12
PM10_0,0.72,0.7,0.67,0.65,0.65,0.63,0.62,0.64,0.62,0.61,0.6,0.61,0.57,0.55,0.53,0.55,0.98,0.86,0.99,0.87,1.04,1.04,,1.04,0.38,1.03,0.4,1.01,0.73
PM10_1,1.23,1.26,1.22,1.29,1.15,1.6,1.26,0.98,1.15,1.06,1.17,1.03,,,,,2.52,0.86,2.38,0.82,1.89,1.89,,1.89,,1.9,,1.85,1.31
TEMP_1,0.68,0.67,0.65,0.64,0.62,0.62,0.6,0.6,0.6,0.59,0.59,0.58,0.55,0.53,0.52,0.52,0.97,0.68,0.98,0.65,1.0,1.0,,1.0,0.37,1.0,0.37,0.97,0.71
PRES_0,0.68,0.67,0.65,0.64,0.62,0.62,0.6,0.6,0.6,0.59,0.59,0.59,0.55,0.54,0.52,0.52,0.97,0.68,0.98,0.65,1.0,1.0,,1.0,0.37,1.0,0.37,0.97,0.71
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.68,0.67,0.65,0.64,0.62,0.62,0.6,0.6,0.6,0.59,0.59,0.59,0.56,0.53,0.52,0.52,0.97,0.68,0.98,0.65,1.0,1.0,,1.0,,1.0,0.37,0.97,0.71
DEWP_0,,,,,,,,,,,,,,,,,4.12,,4.18,,4.39,4.39,,,0.57,4.38,,4.93,2.35
