,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.8,1.75,1.8,1.73,1.6,1.55,1.72,1.83,1.62,1.75,1.59,1.74,1.52,1.62,1.58,1.65,1.17,1.24,1.17,1.4,1.15,1.15,,1.16,0.67,1.16,1.19,1.2,1.55
ENE,1.81,1.83,1.72,1.83,1.59,1.58,1.73,1.72,1.6,1.73,1.63,1.77,1.58,1.7,1.68,1.85,1.18,1.23,1.18,1.32,1.16,1.16,,1.16,,1.16,1.35,1.21,1.61
ESE,1.84,1.82,1.92,1.67,1.64,1.59,1.73,1.98,1.83,1.82,1.53,1.75,1.35,1.39,1.63,1.62,1.21,1.35,1.21,1.43,1.18,1.18,,1.18,,1.18,1.12,1.22,1.64
NE,1.74,1.86,1.72,1.96,1.63,1.66,1.94,1.65,1.52,1.56,1.79,1.9,1.89,1.87,2.02,2.07,1.22,1.03,1.21,1.28,1.19,1.19,,1.19,,1.19,1.44,1.23,1.65
SSW,1.85,1.73,1.83,1.74,2.02,2.02,1.6,1.88,2.11,1.94,1.82,1.52,1.22,1.33,1.41,1.76,1.23,1.25,1.23,1.35,1.2,1.2,,1.2,,1.2,,1.24,1.71
SW,1.7,1.8,1.74,1.72,2.0,2.03,1.67,1.82,2.05,1.89,2.0,1.71,1.41,1.36,1.71,1.79,1.23,1.22,1.22,1.35,1.2,1.2,,1.2,,1.2,0.95,1.25,1.75
NNE,1.71,1.9,1.69,1.97,1.47,1.64,2.06,1.54,1.5,1.58,1.79,2.1,1.88,2.11,1.72,1.85,1.25,1.14,1.24,1.3,1.21,1.21,,1.21,,1.21,1.78,1.26,1.66
SE,1.91,1.87,1.98,1.72,1.68,1.69,1.8,2.1,1.86,2.03,1.55,1.75,1.41,1.51,1.45,1.6,1.23,1.37,1.22,1.45,1.21,1.21,,1.21,,1.21,1.22,1.26,1.66
S,1.83,1.87,1.99,1.7,1.92,1.97,1.69,2.0,2.11,1.98,1.77,1.56,1.49,1.5,1.5,1.78,1.25,1.33,1.24,1.44,1.22,1.22,,1.22,,1.22,1.14,1.26,1.77
SSE,1.9,1.84,2.11,1.75,1.95,1.79,1.72,2.12,2.06,2.13,1.56,1.6,1.39,1.44,1.5,1.82,1.25,1.32,1.26,1.4,1.23,1.23,,1.23,,1.23,1.18,1.27,1.71
WSW,1.71,1.69,1.76,1.7,1.89,2.02,1.73,1.91,2.15,1.92,2.16,1.87,1.8,1.66,1.9,2.18,1.28,1.15,1.26,1.36,1.23,1.23,,1.23,,1.23,1.11,1.27,1.77
N,1.79,1.93,1.72,2.0,1.63,1.78,2.06,1.51,1.56,1.64,1.82,2.13,1.77,2.1,2.13,1.79,1.28,1.3,1.27,1.3,1.23,1.23,,1.23,,1.23,1.66,1.28,1.64
NW,1.68,1.82,1.76,1.79,1.58,1.71,1.87,1.42,1.6,1.62,1.84,2.12,2.36,2.41,2.44,1.96,1.29,1.8,1.29,1.59,1.26,1.26,,1.26,,1.26,2.06,1.3,1.83
NNW,1.86,1.92,1.92,1.97,1.64,1.77,2.02,1.59,1.49,1.49,1.83,2.18,2.21,2.41,2.16,1.93,1.33,1.74,1.32,1.81,1.28,1.28,,1.28,1.18,1.28,,1.33,1.85
WNW,2.02,1.93,1.95,1.83,1.7,1.71,2.11,1.87,1.75,1.51,1.88,2.09,2.35,2.11,2.37,2.12,1.32,1.8,1.33,1.56,1.29,1.29,,1.29,,1.29,,1.34,1.82
W,1.85,1.88,1.92,1.75,2.0,2.2,1.92,1.91,1.99,1.91,2.3,2.02,2.14,1.81,2.14,2.22,1.34,1.23,1.33,1.4,1.29,1.29,,1.29,,1.29,,1.34,1.94
PM2.5_0,1.51,1.55,1.52,1.53,1.44,1.48,1.54,1.49,1.46,1.47,1.5,1.58,1.48,1.53,1.57,1.56,1.05,0.94,1.04,1.07,1.01,1.01,0.54,1.01,0.68,1.01,1.14,1.05,1.43
PM2.5_1,1.84,1.71,1.91,1.57,1.77,1.61,1.47,2.1,2.01,1.99,1.49,1.45,0.61,0.92,1.07,1.4,1.15,1.89,1.17,1.92,1.16,1.16,,1.16,,1.16,0.79,1.2,1.43
PM10_0,1.51,1.54,1.53,1.52,1.43,1.47,1.52,1.49,1.47,1.47,1.48,1.56,1.46,1.49,1.54,1.55,1.04,1.0,1.04,1.08,1.01,1.01,0.53,1.01,0.66,1.01,1.14,1.05,1.42
PM10_1,1.81,1.75,1.87,1.67,1.85,1.68,1.61,2.11,2.04,2.03,1.67,1.52,0.76,1.15,1.15,1.52,1.17,1.75,1.18,1.98,1.17,1.17,,1.18,,1.18,0.61,1.22,1.5
TEMP_1,1.5,1.52,1.52,1.49,1.44,1.46,1.5,1.52,1.5,1.5,1.46,1.52,1.38,1.43,1.47,1.52,1.02,1.05,1.02,1.15,1.0,1.0,0.5,1.0,0.64,1.0,1.09,1.04,1.4
