,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.53,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_0,1.0,1.0,,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.52,1.0,0.66,0.86,0.27,0.78,0.52,0.24
DEWP_0,6.4,6.39,,7.9,0.03,5.47,0.93,4.3,3.59,
WSPM_0,1.05,1.05,0.53,1.04,0.65,0.9,0.31,0.82,0.53,0.24
WSPM_1,1.8,1.8,,1.8,0.33,1.56,0.33,1.33,1.09,0.44
PM10_0,1.13,1.13,0.4,1.12,0.43,0.97,0.31,0.77,0.8,0.64
PM10_1,1.45,1.45,,1.44,,1.24,0.38,1.46,0.45,0.17
PM10_2,4.13,4.13,,4.11,,3.53,1.3,5.56,1.41,0.06
