,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.71,1.0,0.64,0.87,0.41,0.84,0.66,0.38
PRES_0,1.0,1.0,,1.0,0.64,0.88,0.41,0.84,0.66,0.38
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.71,1.0,1.22,0.88,0.41,0.85,0.66,0.4
DEWP_0,259.53,259.24,,488.06,1.34,314.38,37.62,174.59,,
WSPM_0,1.17,1.17,0.71,1.17,1.26,1.01,0.58,1.0,0.74,0.44
WSPM_1,6.92,6.91,,6.97,1.3,6.62,1.36,5.38,5.69,3.0
PM10_0,1.49,1.49,0.71,1.49,0.75,1.31,0.6,1.03,1.71,1.9
PM10_1,3.45,3.45,,3.44,,2.99,1.38,5.03,1.1,0.69
PM10_2,113.13,113.0,,112.63,,96.73,63.95,191.48,43.32,1.56
