,ENE,NW,NE,E,NNW,N,ESE,NNE,WNW,WSW,SE,SW,SSW,W,S,SSE,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE,1.0,0.81,0.99,0.96,0.88,0.89,0.86,0.88,0.8,0.93,0.82,0.79,0.77,0.89,0.71,0.69,1.33,1.14,1.34,1.12,1.42,,1.41,0.91,1.42,,1.42,1.35,1.02
NW,1.1,1.0,1.0,1.09,0.88,0.89,1.2,0.78,0.89,0.79,0.91,0.7,0.9,0.8,0.68,0.7,1.36,2.04,1.35,1.53,1.45,,1.43,1.22,1.45,,1.45,1.37,1.14
NE,1.02,1.03,1.0,1.01,0.87,0.88,0.92,0.9,0.77,0.95,0.78,0.87,0.82,0.94,0.77,0.64,1.39,1.2,1.37,1.2,1.46,,1.44,0.87,1.45,0.51,1.46,1.38,1.05
E,1.03,0.89,1.0,1.0,0.9,0.81,0.93,0.87,0.74,0.87,0.85,0.88,0.8,0.86,0.79,0.68,1.41,1.14,1.43,1.11,1.47,,1.44,0.85,1.47,,1.47,1.39,1.15
NNW,1.15,1.09,1.17,1.07,1.0,0.97,0.88,1.01,1.05,0.7,0.91,0.63,0.71,0.63,0.75,0.73,1.46,2.02,1.47,1.83,1.56,,1.53,1.55,1.56,,1.56,1.47,1.26
N,1.12,1.1,1.1,1.13,1.05,1.0,0.91,0.97,0.99,0.8,0.83,0.8,0.57,0.75,0.75,0.77,1.46,1.67,1.48,1.61,1.58,,1.54,1.22,1.57,,1.58,1.5,1.23
ESE,1.13,0.9,1.07,1.06,1.17,1.09,1.0,0.97,0.82,0.92,0.92,0.93,0.86,0.84,0.88,0.85,1.53,1.21,1.52,1.19,1.59,,1.57,0.87,1.59,,1.59,1.51,1.32
NNE,1.1,1.15,1.09,1.11,1.08,0.98,1.0,1.0,1.0,0.9,0.88,0.73,0.81,0.96,0.76,0.67,1.5,1.45,1.51,1.44,1.62,,1.59,1.03,1.62,,1.62,1.51,1.2
WNW,1.2,1.15,1.19,1.12,0.96,1.01,1.12,0.97,1.0,1.06,1.05,0.91,0.88,1.1,0.82,1.26,1.53,1.96,1.53,1.73,1.65,,1.62,1.1,1.64,,1.65,1.56,1.31
WSW,1.0,1.5,0.99,1.04,1.36,1.24,1.04,1.15,1.03,1.0,0.98,1.13,1.15,0.83,1.09,1.26,1.67,0.97,1.68,0.94,1.71,,1.69,0.96,1.7,,1.71,1.63,1.61
