,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.43,1.0,0.67,1.11,3.15,1.25,1.74,2.13
PRES_0,1.0,1.0,0.31,1.0,0.67,1.11,3.15,1.25,1.75,2.13
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.43,1.0,0.53,1.11,3.15,1.25,1.74,2.08
DEWP_0,0.82,0.82,,0.82,31.94,0.92,3.17,1.08,1.83,14.75
WSPM_0,1.0,1.0,0.5,1.0,0.5,1.11,3.07,1.24,1.73,2.03
WSPM_1,1.0,1.0,,1.0,1.63,1.11,3.61,1.25,1.82,2.74
PM10_0,1.0,1.0,0.64,1.0,0.86,1.11,3.25,1.31,1.51,1.4
PM10_1,0.99,1.0,,1.0,0.28,1.11,2.9,1.16,2.3,3.44
PM10_2,0.99,0.99,,0.99,,1.1,2.68,1.1,2.35,18.96
