,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.11,1.0,0.23,1.08,2.14,1.15,1.36,0.83
PRES_0,1.0,1.0,0.08,1.0,0.23,1.08,2.14,1.15,1.36,0.83
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.11,1.0,0.18,1.08,2.14,1.15,1.36,0.81
DEWP_0,0.82,0.82,,0.82,10.8,0.89,2.16,1.0,1.43,5.73
WSPM_0,1.0,1.0,0.13,1.0,0.17,1.08,2.08,1.15,1.35,0.79
WSPM_1,1.0,1.0,,1.0,0.55,1.08,2.46,1.15,1.42,1.06
PM10_0,1.0,1.0,0.17,1.0,0.29,1.08,2.21,1.21,1.18,0.54
PM10_1,0.99,1.0,,1.0,0.09,1.08,1.97,1.07,1.8,1.34
PM10_2,0.99,0.99,,0.99,,1.07,1.82,1.02,1.83,7.36
