,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,0.93,0.07,1.0,,0.74,0.26,0.58,0.29,0.11
TEMP_1,,,,,,,,,,,
PRES_1,1.0,,0.99,0.01,1.0,,0.73,0.27,0.61,0.27,0.1
PRES_0,1.0,,0.15,0.85,0.99,,0.82,0.18,0.27,0.52,0.2
DEWP_0,1.0,,0.93,0.07,1.0,,0.74,0.26,0.59,0.29,0.11
DEWP_1,1.0,,0.68,,,0.68,0.84,,,,
WSPM_0,1.0,,0.92,0.08,1.0,,0.91,0.08,0.49,0.36,0.14
WSPM_1,1.0,,0.95,0.05,1.0,,0.24,0.76,0.85,0.1,0.03
PM10_0,1.0,,0.97,0.03,1.0,,0.61,0.39,0.94,0.05,
PM10_1,1.0,,0.88,0.12,0.99,,0.92,0.08,0.11,0.84,0.04
PM10_2,1.0,,0.87,0.13,0.99,,0.93,0.06,,0.12,0.87
