,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.25,0.98,0.55,1.0,0.27,0.9,0.68,0.92,0.7
TEMP_1,,,,,,,,,,
PRES_1,1.02,0.24,0.99,0.64,1.02,0.29,0.92,0.69,0.94,0.72
PRES_0,2.05,,2.2,0.75,2.05,0.41,1.85,1.24,1.94,1.26
DEWP_0,1.0,0.24,0.98,0.55,1.0,0.28,0.9,0.68,0.92,0.69
DEWP_1,4.83,,4.75,,4.83,0.56,4.6,,,3.35
WSPM_0,1.08,0.24,1.06,0.55,1.08,0.24,0.97,0.77,1.01,0.69
WSPM_1,1.44,,1.4,1.1,1.44,,1.33,0.88,1.28,1.74
PM10_0,1.08,0.24,1.06,0.64,1.08,,0.97,0.73,0.97,0.84
PM10_1,1.48,,1.44,0.71,1.47,0.25,1.33,0.95,1.49,0.86
