,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.17,0.3,0.83,1.0,1.09,0.56,1.03,0.68,1.02,0.7
TEMP_0,0.32,1.2,1.1,0.54,0.76,1.07,1.04,0.68,0.98,0.83
PRES_1,0.77,0.99,1.11,0.28,0.83,0.95,1.0,0.69,0.98,0.73
PRES_0,1.16,0.58,0.34,1.3,1.16,0.5,1.09,0.64,1.03,0.82
DEWP_1,1.03,0.69,0.85,0.95,1.13,0.23,1.05,0.49,0.96,0.79
DEWP_0,0.63,1.15,1.14,0.48,0.28,1.28,1.0,0.89,1.07,0.69
WSPM_0,0.87,0.85,0.91,0.8,0.93,0.77,1.02,0.43,0.93,0.76
WSPM_1,1.05,1.01,1.14,0.86,0.86,1.2,0.79,1.42,1.23,0.53
PM10_0,0.9,0.84,0.94,0.79,0.89,0.85,0.97,0.72,1.06,0.33
PM10_1,0.93,1.03,1.02,0.94,1.1,0.8,1.18,0.36,0.49,1.4
