,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.76,0.75,0.69,0.76,0.77,0.72,0.69,0.66,0.68,0.66,0.75,0.71,0.74,0.68,0.64,0.67,1.3,0.85,1.3,0.84,1.34,1.34,,1.33,,1.33,0.49,1.28,0.82
ENE,0.77,0.75,0.71,0.73,0.77,0.76,0.63,0.69,0.69,0.72,0.79,0.65,0.69,0.68,0.69,0.8,1.29,0.87,1.3,0.84,1.35,1.35,,1.35,,1.35,0.57,1.29,0.81
ESE,0.8,0.83,0.74,0.81,0.76,0.74,0.8,0.72,0.74,0.68,0.73,0.79,0.71,0.66,0.67,0.62,1.36,0.86,1.36,0.81,1.39,1.39,,1.39,,1.39,0.44,1.33,0.87
NE,0.78,0.76,0.75,0.73,0.84,0.86,0.68,0.73,0.72,0.71,0.82,0.66,0.73,0.67,0.77,0.85,1.35,1.05,1.36,1.06,1.41,1.41,,1.41,,1.41,0.58,1.35,0.85
SSW,0.94,0.92,0.87,0.9,0.71,0.73,0.98,0.79,0.7,0.74,0.67,0.81,0.77,0.71,0.69,0.54,1.38,0.99,1.4,0.89,1.44,1.43,,1.43,,1.43,,1.37,0.94
SW,0.96,0.96,0.87,0.84,0.74,0.72,0.78,0.84,0.76,0.82,0.66,0.74,0.75,0.62,0.73,0.55,1.38,1.03,1.39,0.87,1.44,1.44,,1.44,,1.44,,1.38,0.94
NNE,0.83,0.83,0.81,0.77,0.79,0.93,0.71,0.7,0.73,0.71,0.89,0.72,0.71,0.73,0.64,0.79,1.41,1.22,1.42,1.07,1.47,1.47,,1.47,,1.47,0.87,1.41,0.86
SE,0.86,0.87,0.79,0.84,0.77,0.77,1.01,0.71,0.73,0.69,0.77,0.95,0.86,0.79,0.65,0.66,1.45,0.94,1.44,0.87,1.48,1.48,,1.48,,1.48,0.45,1.41,1.0
S,0.94,0.97,0.89,0.94,0.73,0.74,1.05,0.79,0.71,0.71,0.7,0.87,0.86,0.9,0.67,0.59,1.43,0.94,1.44,0.9,1.48,1.48,,1.48,,1.48,,1.41,0.95
SSE,0.88,0.91,0.88,0.94,0.8,0.81,1.04,0.73,0.75,0.7,0.68,0.83,0.88,0.84,0.78,0.64,1.47,0.93,1.47,0.87,1.5,1.5,,1.5,,1.5,0.59,1.44,0.98
WSW,0.87,0.8,0.93,0.75,0.88,0.78,0.75,0.94,0.93,0.92,0.7,0.75,0.8,0.71,0.66,0.62,1.44,1.11,1.45,0.96,1.51,1.51,,1.5,,1.51,,1.44,1.09
N,0.88,0.84,0.82,0.82,0.97,1.02,0.76,0.75,0.87,0.83,0.85,0.71,0.67,0.68,0.7,0.68,1.46,1.23,1.47,1.09,1.52,1.52,,1.52,,1.52,0.71,1.45,0.89
NW,0.89,0.84,0.97,0.84,1.04,0.97,0.79,0.89,0.97,0.95,0.83,0.76,0.67,0.68,0.63,0.67,1.5,2.45,1.52,1.58,1.58,1.58,,1.58,,1.57,,1.51,0.97
NNW,0.99,0.94,1.06,0.88,1.25,1.19,0.78,0.94,0.87,0.89,0.9,0.79,0.69,0.67,0.65,0.75,1.55,2.06,1.57,1.53,1.63,1.63,,1.64,,1.63,,1.56,1.0
WNW,1.03,0.98,1.0,0.9,1.01,0.84,1.01,1.08,1.05,0.93,0.88,0.75,0.74,0.66,0.67,0.78,1.58,1.73,1.6,1.36,1.65,1.65,,1.65,,1.65,,1.6,1.02
W,0.97,0.84,0.94,0.76,1.02,0.98,0.78,0.9,1.13,1.06,0.89,0.84,0.86,0.72,0.7,0.69,1.6,1.35,1.61,1.21,1.66,1.66,,1.66,,1.66,,1.59,1.2
PM2.5_0,0.6,0.59,0.57,0.57,0.57,0.56,0.54,0.53,0.54,0.53,0.53,0.53,0.53,0.5,0.49,0.46,0.98,0.76,0.99,0.69,1.02,1.02,0.46,1.02,0.52,1.02,0.44,0.98,0.65
