,ENE,NW,NE,E,NNW,N,ESE,NNE,WNW,WSW,SE,SW,SSW,W,S,SSE,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE,1.0,0.78,0.97,0.96,0.85,0.93,0.83,0.84,0.74,0.85,0.7,0.71,0.71,0.9,0.58,0.61,1.47,1.2,1.48,1.18,1.59,,1.57,0.9,1.59,,1.59,1.49,1.09
NW,1.22,1.0,1.02,1.16,0.9,0.89,1.16,0.74,0.85,0.76,0.87,0.64,0.85,0.66,,,1.5,2.0,1.51,1.49,1.63,,1.6,1.05,1.63,,1.63,1.52,1.2
NE,1.03,0.98,1.0,1.03,0.82,0.86,0.85,0.88,0.88,0.93,0.74,0.85,0.7,0.96,0.63,0.51,1.51,1.23,1.49,1.24,1.64,,1.62,0.92,1.64,,1.64,1.54,1.1
E,1.01,0.93,1.0,1.0,0.86,0.89,0.94,0.87,0.79,0.88,0.8,0.8,0.69,0.88,0.72,0.59,1.59,1.19,1.59,1.15,1.66,,1.63,0.84,1.66,,1.66,1.56,1.13
NNW,1.16,1.1,1.26,1.22,1.0,0.95,0.89,1.0,1.04,0.81,0.9,,,0.69,,,1.66,1.85,1.68,1.76,1.8,,1.76,1.23,1.8,,1.8,1.66,1.33
N,1.07,1.1,1.16,1.09,1.04,1.0,0.9,0.95,0.91,0.76,0.77,0.94,,0.71,0.74,0.87,1.66,1.68,1.68,1.67,1.83,,1.78,1.12,1.82,,1.83,1.7,1.34
ESE,1.19,0.89,1.12,1.04,1.2,1.08,1.0,1.05,0.82,0.9,0.94,0.89,0.82,0.81,0.76,0.78,1.77,1.33,1.75,1.3,1.84,,1.81,0.86,1.84,,1.84,1.72,1.47
NNE,1.16,1.33,1.14,1.13,1.07,1.0,1.03,1.0,0.98,1.0,0.97,0.72,0.87,0.87,0.76,,1.73,1.56,1.75,1.5,1.9,,1.86,1.0,1.9,,1.9,1.72,1.33
WNW,1.33,1.22,1.08,1.14,0.99,1.03,1.13,0.99,1.0,1.01,,0.74,0.71,1.11,0.86,,1.76,1.99,1.76,1.73,1.94,,1.91,1.09,1.94,,1.94,1.8,1.43
WSW,1.03,1.41,0.96,1.03,1.33,1.18,1.07,0.93,0.96,1.0,0.99,1.17,1.17,0.78,1.09,1.32,1.96,1.17,2.0,1.15,2.03,,2.02,1.06,2.03,,2.03,1.91,1.82
SE,1.36,,1.42,1.27,1.03,1.52,1.05,1.1,,1.06,1.0,0.97,0.9,1.14,1.01,0.96,1.97,1.45,2.0,1.46,2.09,,2.09,1.05,2.09,,2.09,1.96,1.56
SW,1.35,1.69,1.15,1.31,,1.09,1.23,1.1,1.37,0.89,1.06,1.0,1.08,0.85,1.05,1.09,2.08,1.22,2.04,1.15,2.1,,2.08,1.06,2.1,,2.1,1.98,1.62
SSW,1.38,1.34,1.33,1.31,1.36,,1.22,1.15,1.6,0.91,1.11,1.09,1.02,1.05,1.1,1.15,2.12,1.14,2.13,1.12,2.21,,2.2,1.15,2.21,,2.21,2.08,1.69
W,1.05,1.48,0.94,1.01,1.34,1.27,1.1,1.04,1.06,1.33,0.88,1.18,1.05,1.0,1.05,,2.07,1.44,2.11,1.34,2.2,,2.14,1.13,2.19,,2.2,2.06,1.9
S,1.73,,1.44,1.38,,1.43,1.29,1.27,1.24,0.96,1.06,0.95,0.97,1.05,1.0,0.92,2.14,1.37,2.16,1.4,2.24,,2.22,1.26,2.24,,2.24,2.09,1.84
SSE,1.84,,1.94,1.53,,1.29,1.43,,,1.01,1.04,0.92,0.98,,1.12,1.0,2.31,1.49,2.34,1.48,2.36,,2.32,1.17,2.36,,2.36,2.2,1.72
PM2.5_0,0.68,0.67,0.66,0.63,0.61,0.61,0.57,0.58,0.57,0.5,0.5,0.49,0.46,0.47,0.45,0.43,1.0,0.78,1.01,0.77,1.07,0.22,1.05,0.61,1.07,,1.07,1.0,0.81
PM2.5_1,0.84,0.61,0.8,0.85,0.59,0.63,0.78,0.65,0.49,0.82,0.69,0.78,0.83,0.67,0.72,0.66,1.28,1.0,1.28,0.99,1.36,,1.34,0.73,1.36,0.31,1.36,1.28,0.8
PM10_0,0.67,0.67,0.66,0.63,0.6,0.6,0.57,0.58,0.57,0.5,0.5,0.49,0.46,0.47,0.46,0.43,0.99,0.78,1.0,0.77,1.07,0.22,1.05,0.59,1.06,,1.07,0.99,0.8
PM10_1,0.86,0.7,0.81,0.87,0.61,0.64,0.78,0.66,0.54,0.86,0.69,0.81,0.86,0.72,0.69,0.66,1.3,1.02,1.3,1.0,1.38,,1.35,0.76,1.38,0.3,1.38,1.31,0.87
TEMP_0,0.63,0.61,0.61,0.6,0.55,0.55,0.54,0.52,0.52,0.49,0.48,0.48,0.46,0.46,0.45,0.42,0.93,0.73,0.94,0.72,1.0,,0.98,0.55,1.0,0.27,1.0,0.93,0.74
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.64,0.63,0.62,0.61,0.57,0.56,0.55,0.53,0.52,0.5,0.48,0.48,0.46,0.46,0.45,0.43,0.95,0.74,0.95,0.74,1.02,0.23,1.0,0.56,1.02,0.29,1.02,0.95,0.75
PRES_0,1.13,1.0,1.11,1.13,0.89,0.8,1.04,0.98,0.94,0.97,0.97,0.99,0.87,0.86,0.85,0.8,1.67,1.36,1.71,1.28,1.82,,1.79,1.0,1.83,,1.82,1.73,1.25
DEWP_0,0.63,0.61,0.61,0.6,0.56,0.55,0.54,0.53,0.52,0.49,0.48,0.47,0.46,0.46,0.45,0.42,0.93,0.73,0.94,0.72,1.0,0.22,0.98,0.55,1.0,0.27,1.0,0.93,0.74
DEWP_1,,,,,,,,,,,,,,,,,,3.07,,3.13,3.72,,3.11,,3.71,1.0,3.72,3.67,
RAIN_0,0.63,0.61,0.61,0.6,0.55,0.55,0.54,0.53,0.52,0.49,0.48,0.48,0.46,0.46,0.45,0.42,0.93,0.73,0.94,0.72,1.0,0.22,0.98,0.55,1.0,0.27,1.0,0.93,0.74
WSPM_0,0.67,0.65,0.64,0.64,0.59,0.59,0.58,0.57,0.55,0.54,0.5,0.51,0.49,0.49,0.48,0.45,1.0,0.76,1.01,0.75,1.07,0.23,1.05,0.57,1.07,0.26,1.07,1.0,0.79
WSPM_1,0.9,0.83,0.91,0.94,0.75,0.74,0.78,0.69,0.7,0.61,0.79,0.62,0.61,0.6,0.62,0.6,1.25,1.47,1.26,1.29,1.35,,1.33,0.86,1.35,,1.35,1.26,1.0
