,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,4.61,1.0,3.09,0.97,1.03,1.01,1.1,2.02
PRES_0,1.0,1.0,,1.0,3.08,0.97,1.03,1.01,1.1,2.01
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,4.58,1.0,4.08,0.97,1.03,1.01,1.1,2.06
DEWP_0,0.02,0.02,,0.03,0.01,0.02,0.01,0.02,,
WSPM_0,0.89,0.89,3.79,0.89,3.39,0.86,1.01,0.91,0.96,1.79
WSPM_1,0.24,0.24,,0.24,0.41,0.24,0.17,0.23,0.3,0.47
PM10_0,0.74,0.74,2.81,0.74,2.08,0.72,0.78,0.68,1.08,3.0
PM10_1,0.39,0.39,,0.39,,0.38,0.38,0.53,0.3,0.55
PM10_2,0.03,0.03,,0.03,,0.03,0.04,0.04,0.03,0.01
