,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,466.43,1.05,10.39,1.0,163.74,1.18,2.53,1.47,2.39,6.19
TEMP_1,,,,,,,,,,,
PRES_1,0.81,325.71,0.84,11.43,0.81,145.82,0.96,2.06,1.18,1.96,5.15
PRES_0,,,,,,0.03,,,,,
DEWP_0,0.99,414.72,1.04,10.35,0.99,178.74,1.18,2.52,1.46,2.38,6.16
DEWP_1,,,,,,,,,,,
WSPM_0,0.4,143.77,0.42,3.76,0.4,52.47,0.47,1.15,0.62,0.88,2.15
WSPM_1,0.02,,0.02,0.3,0.02,,0.02,0.04,0.02,0.06,0.28
PM10_0,0.2,80.86,0.21,2.95,0.2,,0.24,0.47,0.27,0.58,2.84
PM10_1,0.02,9.21,0.03,0.19,0.02,2.73,0.03,0.08,0.04,0.05,0.12
PM10_2,,,,0.01,,0.1,,,,,
