,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.99,0.49,0.92,0.3,0.6,0.79,1.0,0.94,0.82,0.88,0.27
TEMP_0,0.52,0.97,0.55,0.76,0.92,0.27,0.98,0.9,0.81,0.79,0.29
PRES_0,0.94,0.56,0.99,0.22,0.63,0.77,0.99,0.93,0.8,0.88,0.28
PRES_1,0.54,0.93,0.36,0.98,0.93,0.24,0.98,0.91,0.84,0.78,0.27
DEWP_0,0.67,0.89,0.63,0.67,0.98,0.27,0.98,0.92,0.82,0.8,0.3
DEWP_1,0.97,0.42,0.96,0.24,0.41,0.99,1.0,0.93,0.8,0.9,0.25
WSPM_0,0.8,0.68,0.77,0.49,0.71,0.6,1.0,0.9,0.8,0.85,0.27
WSPM_1,0.81,0.7,0.78,0.46,0.77,0.57,0.97,0.96,0.85,0.83,0.29
PM10_0,0.77,0.69,0.73,0.52,0.77,0.55,0.98,0.96,0.98,0.72,0.18
PM10_1,0.84,0.66,0.79,0.45,0.69,0.61,1.0,0.92,0.74,0.98,0.25
PM10_2,0.84,0.75,0.92,0.44,0.75,0.63,1.0,0.74,0.26,0.88,0.9
