,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.25,0.64,2.43,0.74,1.77,0.38,12.79,0.88,2.42,37.84
TEMP_0,0.79,1.0,0.51,1.77,0.57,1.54,0.3,10.47,0.71,1.9,26.64
PRES_1,1.55,1.94,1.0,3.69,1.13,2.97,0.59,20.64,1.39,3.74,55.39
PRES_0,0.41,0.54,0.26,1.0,0.31,0.77,0.16,5.16,0.37,1.0,14.36
DEWP_1,1.36,1.74,0.88,3.23,1.0,2.54,0.52,16.98,1.2,3.31,47.25
DEWP_0,0.52,0.65,0.34,1.27,0.39,1.0,0.2,7.14,0.47,1.24,19.08
WSPM_0,2.58,3.32,1.69,6.06,1.89,5.02,1.0,33.76,2.33,6.17,87.29
WSPM_1,0.08,0.09,0.05,0.21,0.06,0.14,0.03,1.0,0.07,0.22,6.31
PM10_0,1.12,1.38,0.72,2.76,0.84,2.14,0.43,15.2,1.0,2.68,65.13
PM10_1,0.41,0.54,0.27,0.93,0.3,0.81,0.16,5.19,0.38,1.0,12.4
PM10_2,0.03,0.04,0.02,0.07,0.02,0.05,0.01,0.2,0.02,0.07,1.0
