,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.3,1.0,0.3,0.86,0.18,0.71,0.4,0.11
PRES_0,1.0,1.0,0.42,1.0,0.29,0.86,0.18,0.71,0.39,0.11
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.3,0.99,0.37,0.85,0.18,0.71,0.39,0.12
DEWP_0,0.01,0.01,,0.01,,,,,,
WSPM_0,0.86,0.86,0.41,0.85,0.3,0.73,0.16,0.61,0.33,0.09
WSPM_1,0.15,0.15,,0.15,0.02,0.13,0.02,0.1,0.07,0.02
PM10_0,0.68,0.67,0.14,0.67,0.18,0.58,0.12,0.46,0.3,0.14
PM10_1,0.29,0.29,,0.29,0.1,0.25,0.05,0.22,0.09,0.02
PM10_2,0.01,0.01,,0.01,,0.01,,0.01,,
