,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.94,0.92,0.98,0.95,1.0,0.88,0.97,0.78,1.01,0.76
TEMP_0,1.11,0.88,1.14,0.89,1.0,1.11,1.05,0.85,1.1,0.83
PRES_0,0.93,0.9,0.95,1.0,0.98,0.86,0.95,0.77,0.99,0.73
PRES_1,1.14,0.91,1.23,0.87,1.02,1.2,1.07,0.87,1.12,0.9
DEWP_0,1.01,0.84,1.04,0.84,0.93,1.04,0.98,0.79,1.03,0.77
DEWP_1,1.0,1.02,1.04,1.07,1.14,0.9,1.03,0.83,1.07,0.81
WSPM_0,0.94,0.85,0.97,0.88,0.95,0.88,0.95,0.77,0.99,0.72
WSPM_1,1.1,0.98,1.15,0.96,1.06,1.1,1.08,0.87,1.12,0.91
PM10_0,0.94,0.83,0.97,0.84,0.92,0.89,0.93,0.75,0.96,0.75
PM10_1,1.13,1.04,1.18,1.08,1.17,1.08,1.15,0.93,1.23,0.84
