,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.28,1.0,0.32,0.91,0.35,0.81,0.56,0.21
PRES_0,1.0,1.0,0.33,1.0,0.32,0.91,0.35,0.81,0.56,0.21
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.28,1.0,0.35,0.91,0.35,0.81,0.56,0.21
DEWP_0,5.75,5.75,,5.73,0.24,5.23,1.8,4.53,3.37,0.38
WSPM_0,1.05,1.05,0.43,1.05,0.35,0.95,0.37,0.85,0.57,0.21
WSPM_1,1.8,1.8,,1.79,0.42,1.64,0.58,1.44,1.12,0.46
PM10_0,1.13,1.13,0.26,1.13,0.35,1.03,0.39,0.89,0.67,0.33
PM10_1,1.45,1.45,,1.44,0.42,1.32,0.49,1.21,0.7,0.21
PM10_2,4.12,4.12,,4.11,,3.75,1.39,3.53,2.02,0.29
