,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,2.7,1.0,2.92,1.17,5.06,1.37,2.33,7.03
PRES_0,1.0,1.0,1.8,1.0,2.93,1.17,5.05,1.37,2.33,7.03
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,2.71,1.0,2.21,1.17,5.06,1.37,2.33,6.88
DEWP_0,0.82,0.82,,0.82,162.44,0.96,5.31,1.22,2.39,40.61
WSPM_0,1.0,1.0,3.16,1.0,2.28,1.17,4.89,1.37,2.31,6.81
WSPM_1,1.0,1.0,,1.0,6.72,1.17,6.02,1.37,2.4,8.31
PM10_0,1.0,1.0,4.01,1.0,3.77,1.17,5.24,1.47,1.92,4.5
PM10_1,1.0,1.0,,1.0,1.15,1.16,4.61,1.22,3.3,11.33
PM10_2,1.0,1.0,,1.0,,1.17,4.6,1.11,3.36,78.32
