,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,294.11,1.0,107.33,1.21,10.08,1.59,4.03,102.98
PRES_0,1.0,1.0,250.89,1.0,107.36,1.21,10.07,1.59,4.03,103.01
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,294.43,1.0,95.14,1.21,10.07,1.59,4.02,101.59
DEWP_0,0.24,0.24,,0.24,193.46,0.29,2.63,0.39,1.14,68.24
WSPM_0,0.96,0.96,355.89,0.97,87.34,1.17,9.56,1.53,3.83,94.72
WSPM_1,0.62,0.62,,0.62,109.46,0.75,6.68,0.98,2.66,80.5
PM10_0,0.91,0.91,324.75,0.91,115.13,1.1,9.35,1.48,3.38,79.17
PM10_1,0.73,0.73,,0.73,42.83,0.89,6.91,1.13,3.39,92.26
PM10_2,0.3,0.3,,0.31,,0.37,2.74,0.46,1.44,94.13
