,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.98,1.06,0.9,1.14,1.3,1.57,1.01,1.01,1.15,1.06,1.3,1.2,,1.17,,1.5,1.53,1.05,1.52,1.05,1.54,1.54,,1.54,,1.54,,1.49,1.3
ENE,1.03,1.0,1.01,1.04,,1.36,0.95,1.17,,,1.48,1.19,0.95,1.07,,,1.54,1.1,1.54,1.09,1.57,1.57,,1.56,,1.57,,1.51,1.32
ESE,1.18,1.33,0.97,1.31,1.13,1.11,1.09,0.97,1.18,0.87,,1.36,,,1.14,,1.65,1.05,1.64,1.01,1.63,1.63,,1.63,,1.63,,1.59,1.3
NE,1.17,1.01,1.4,0.95,,,1.0,1.33,,,,1.0,1.22,0.99,,,1.61,1.32,1.62,1.29,1.67,1.67,,1.66,,1.67,,1.61,1.37
SSW,1.95,,1.87,,0.9,0.99,,1.36,0.95,1.02,0.96,,,,,0.86,1.66,1.34,1.67,1.32,1.71,1.71,,1.7,,1.71,,1.69,1.24
SW,1.59,1.79,2.12,,0.98,0.9,,1.21,1.24,1.48,0.87,,,,1.21,0.78,1.65,1.63,1.7,1.11,1.72,1.72,,1.72,,1.71,,1.7,1.22
NNE,1.55,1.24,1.97,1.04,,,0.92,,,,,0.87,1.28,1.13,,,1.71,1.47,1.74,1.28,1.77,1.78,,1.77,,1.77,,1.72,1.49
SE,1.48,1.62,1.14,1.54,1.16,1.63,,0.92,0.95,0.98,,,,,,,1.77,1.26,1.78,1.22,1.78,1.78,,1.78,,1.78,,1.73,1.48
S,1.87,,1.37,,0.95,1.0,,1.43,0.94,1.07,0.99,,,,,,1.74,1.41,1.76,1.26,1.79,1.79,,1.78,,1.78,,1.79,1.22
SSE,1.64,,1.5,,1.25,1.0,,1.03,0.94,0.94,,,,,,,1.84,1.2,1.84,1.17,1.83,1.83,,1.82,,1.83,,1.79,1.41
WSW,1.65,1.65,,,1.37,1.09,,,1.63,,0.86,,,,,0.71,1.77,1.51,1.77,1.71,1.83,1.83,,1.83,,1.83,,1.79,1.42
N,1.43,1.14,1.42,1.2,,,1.17,,,,,0.9,1.04,0.94,1.1,,1.79,1.35,1.78,1.48,1.84,1.84,,1.84,,1.84,,1.8,1.38
