,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.19,1.0,0.3,1.03,1.13,1.02,0.99,0.54
PRES_0,1.0,1.0,0.14,1.0,0.3,1.03,1.13,1.02,0.99,0.55
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.19,1.0,0.24,1.03,1.13,1.02,0.99,0.55
DEWP_0,1.72,1.72,,1.63,4.74,1.73,2.2,1.86,1.8,
WSPM_0,1.01,1.01,0.22,1.01,0.25,1.05,1.11,1.03,0.99,0.56
WSPM_1,1.22,1.22,,1.22,0.65,1.25,1.6,1.23,1.27,0.61
PM10_0,1.04,1.04,0.24,1.04,0.38,1.07,1.22,1.12,0.89,0.46
PM10_1,1.13,1.13,,1.13,,1.16,1.14,1.04,1.41,0.77
PM10_2,1.6,1.6,,1.61,,1.66,1.58,1.18,2.08,3.37
