,ENE,NW,NE,E,NNW,N,ESE,NNE,WNW,WSW,SE,SW,SSW,W,S,SSE,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE,1.0,0.77,0.98,0.97,0.87,0.93,0.86,0.9,0.73,0.89,0.78,0.79,0.75,0.95,0.63,0.66,1.33,1.16,1.34,1.15,1.42,,1.41,0.92,1.42,,1.42,1.35,1.03
NW,1.22,1.0,1.08,1.13,0.9,0.9,1.17,0.77,0.88,0.8,0.93,0.68,0.9,0.74,0.66,,1.35,1.95,1.36,1.46,1.45,,1.43,1.13,1.45,,1.45,1.36,1.14
NE,1.02,0.95,1.0,1.04,0.82,0.9,0.89,0.92,0.91,0.97,0.75,0.88,0.8,1.02,0.73,0.58,1.36,1.19,1.34,1.19,1.46,,1.44,0.93,1.45,,1.46,1.39,1.04
E,1.01,0.94,0.99,1.0,0.93,0.89,0.95,0.89,0.83,0.96,0.86,0.83,0.75,0.9,0.77,0.66,1.43,1.12,1.44,1.11,1.47,,1.45,0.84,1.47,,1.47,1.4,1.06
NNW,1.09,1.08,1.23,1.11,1.0,0.96,0.89,1.01,1.03,0.75,1.07,0.52,0.73,0.68,,,1.47,1.73,1.48,1.67,1.56,,1.53,1.28,1.56,,1.56,1.49,1.24
N,1.08,1.07,1.12,1.11,1.05,1.0,0.89,0.95,0.96,0.77,0.81,0.89,0.58,0.69,0.79,0.84,1.45,1.61,1.47,1.59,1.58,,1.53,1.15,1.57,,1.58,1.5,1.23
ESE,1.13,0.84,1.07,1.02,1.17,1.07,1.0,1.01,0.78,0.9,0.96,0.87,0.88,0.85,0.81,0.83,1.55,1.23,1.53,1.2,1.59,,1.56,0.88,1.59,,1.59,1.51,1.41
NNE,1.07,1.24,1.09,1.09,1.09,0.99,1.02,1.0,0.97,1.07,0.92,0.75,0.8,1.14,0.85,0.66,1.5,1.46,1.52,1.43,1.63,,1.6,1.0,1.63,,1.63,1.49,1.23
WNW,1.36,1.18,1.06,1.08,0.98,1.03,1.13,0.98,1.0,1.01,,0.82,0.75,1.11,0.89,,1.53,1.84,1.52,1.59,1.65,,1.63,1.07,1.65,,1.65,1.54,1.31
WSW,0.98,1.43,0.9,0.96,1.3,1.16,1.07,0.92,0.96,1.0,1.02,1.18,1.2,0.81,1.12,1.41,1.69,1.03,1.71,0.99,1.71,,1.69,1.03,1.71,,1.71,1.64,1.66
SE,1.3,1.04,1.36,1.18,0.92,1.41,1.02,1.17,,0.98,1.0,1.09,0.93,0.99,1.0,0.98,1.7,1.32,1.72,1.34,1.75,,1.75,0.98,1.74,,1.75,1.66,1.48
SW,1.19,1.61,1.16,1.28,1.67,1.13,1.26,1.06,1.32,0.88,1.02,1.0,1.1,0.84,1.09,1.11,1.74,1.05,1.73,1.0,1.75,,1.75,1.0,1.75,,1.75,1.67,1.46
SSW,1.41,1.35,1.15,1.24,1.29,1.62,1.14,1.2,1.75,0.92,1.09,1.07,1.02,1.0,1.1,1.15,1.78,0.99,1.78,0.95,1.83,,1.83,1.13,1.83,,1.83,1.74,1.54
W,0.92,1.41,0.91,0.98,1.35,1.33,1.07,0.91,1.08,1.28,0.91,1.19,1.1,1.0,0.98,1.08,1.73,1.23,1.75,1.15,1.81,,1.78,1.0,1.81,,1.81,1.73,1.7
S,1.59,,1.25,1.26,,1.24,1.22,1.11,1.27,0.98,1.06,0.97,0.98,1.14,1.0,0.95,1.79,1.23,1.81,1.23,1.85,,1.84,1.17,1.85,,1.85,1.75,1.67
SSE,1.56,,1.7,1.42,,1.29,1.3,1.51,,0.97,1.02,0.87,0.95,,1.12,1.0,1.91,1.28,1.92,1.28,1.91,,1.9,1.1,1.91,,1.91,1.82,1.52
PM2.5_0,0.75,0.75,0.73,0.7,0.69,0.69,0.65,0.67,0.66,0.58,0.58,0.57,0.54,0.57,0.53,0.51,1.0,0.83,1.0,0.82,1.05,0.31,1.04,0.69,1.05,,1.05,1.0,0.86
PM2.5_1,0.87,0.63,0.84,0.89,0.63,0.66,0.84,0.7,0.53,0.92,0.77,0.88,0.95,0.74,0.83,0.77,1.21,1.0,1.21,0.99,1.26,,1.25,0.77,1.26,0.39,1.26,1.21,0.8
