,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.18,1.0,0.26,0.96,0.62,0.9,0.73,0.31
PRES_0,1.0,1.0,0.18,1.0,0.26,0.96,0.62,0.9,0.73,0.31
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.18,1.0,0.26,0.96,0.62,0.91,0.73,0.31
DEWP_0,3.94,3.94,,3.94,1.02,3.79,2.35,3.57,3.08,0.93
WSPM_0,1.04,1.04,0.24,1.04,0.26,1.0,0.64,0.94,0.75,0.31
WSPM_1,1.63,1.63,,1.63,0.46,1.56,1.0,1.46,1.31,0.57
PM10_0,1.1,1.1,0.2,1.1,0.3,1.06,0.69,1.0,0.81,0.39
PM10_1,1.36,1.36,,1.36,0.25,1.31,0.79,1.23,1.0,0.38
PM10_2,3.26,3.26,,3.26,,3.14,1.92,3.03,2.48,1.0
