,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.61,0.46,1.33,0.6,0.83,1.55,1.3,1.87,1.31,1.54,1.64
TEMP_0,0.41,2.38,0.66,1.91,1.51,0.48,1.36,1.5,1.32,1.31,1.81
PRES_0,1.41,0.79,1.5,0.22,0.86,1.5,1.32,1.73,1.24,1.56,1.87
PRES_1,0.61,2.05,0.21,2.82,1.57,0.41,1.31,1.71,1.45,1.24,1.39
DEWP_0,0.85,1.7,0.79,1.68,1.75,0.27,1.26,1.89,1.42,1.29,1.66
DEWP_1,1.5,0.62,1.4,0.41,0.28,2.22,1.4,1.51,1.18,1.66,1.76
WSPM_0,1.08,1.35,1.07,1.11,1.01,1.2,1.46,1.28,1.21,1.49,1.79
WSPM_1,1.24,0.99,1.05,1.13,1.27,0.97,1.05,2.57,1.49,1.37,1.54
PM10_0,1.09,1.28,0.95,1.32,1.22,0.96,1.27,2.01,1.99,0.82,0.43
PM10_1,1.19,1.14,1.14,0.94,0.99,1.27,1.35,1.52,0.78,2.19,1.44
PM10_2,1.11,1.35,1.25,0.89,1.01,1.32,1.42,1.1,0.18,1.3,10.0
