,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,485.75,1.0,122.98,1.08,2.9,1.25,2.17,38.16
PRES_0,1.0,1.0,567.33,1.0,122.5,1.08,2.89,1.25,2.16,38.01
PRES_1,,,,,,,,,,
DEWP_1,0.99,0.99,478.27,0.99,135.45,1.07,2.87,1.24,2.14,38.25
DEWP_0,,,,,,,,,,
WSPM_0,0.63,0.63,442.4,0.63,82.15,0.68,1.84,0.78,1.33,23.05
WSPM_1,,,,,0.28,,0.01,,0.01,0.14
PM10_0,0.31,0.31,121.29,0.31,37.09,0.33,0.89,0.37,0.7,16.42
PM10_1,0.02,0.02,,0.02,2.75,0.03,0.07,0.03,0.05,0.65
PM10_2,,,,,,,,,,
