,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.99,0.64,1.0,0.37,0.95,0.8,0.95,0.78
TEMP_1,,,,,,,,,,
PRES_1,1.01,,1.0,0.64,1.01,0.39,0.96,0.81,0.96,0.79
PRES_0,1.57,,1.55,1.0,1.57,,1.49,1.25,1.51,1.22
DEWP_0,1.0,,0.99,0.64,1.0,,0.95,0.8,0.95,0.78
DEWP_1,2.7,,2.57,,,1.0,2.56,,,2.41
WSPM_0,1.05,,1.04,0.67,1.05,0.39,1.0,0.84,1.01,0.82
WSPM_1,1.26,,1.24,0.8,1.26,,1.19,1.0,1.19,1.08
PM10_0,1.05,,1.04,0.66,1.05,,0.99,0.84,1.0,0.82
PM10_1,1.28,,1.26,0.82,1.28,0.41,1.22,0.93,1.21,1.0
