,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.46,0.99,0.74,1.0,0.51,0.97,0.86,0.97,0.85
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.47,1.0,0.74,1.01,0.54,0.97,0.87,0.97,0.86
PRES_0,1.36,,1.35,1.0,1.36,,1.34,1.05,1.32,1.12
DEWP_0,1.0,0.46,0.99,0.73,1.0,0.51,0.97,0.86,0.97,0.85
DEWP_1,1.96,,1.71,,1.96,1.0,2.0,,,1.93
WSPM_0,1.04,0.47,1.03,0.73,1.04,0.47,1.0,0.89,1.01,0.85
WSPM_1,1.17,,1.15,1.03,1.17,,1.12,1.0,1.12,1.33
PM10_0,1.03,0.45,1.03,0.77,1.03,,0.99,0.9,1.0,0.87
PM10_1,1.18,,1.16,0.86,1.18,0.49,1.15,0.85,1.14,1.0
