,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,
DEWP_1,1.49,1.49,1.0,1.49,0.76,1.46,1.0,1.01,1.0,0.98
DEWP_0,0.01,0.01,,0.01,194.48,0.01,1.21,0.39,1.09,8.46
WSPM_0,0.94,0.94,1.17,0.94,0.78,0.94,0.89,0.99,0.98,0.97
WSPM_1,1.52,1.52,,1.52,2.34,1.6,2.5,1.05,1.11,1.2
PM10_0,1.28,1.28,1.49,1.28,1.3,1.23,1.15,9.46,0.61,0.63
PM10_1,0.61,0.61,,0.61,0.39,0.64,0.74,0.38,10.77,1.68
PM10_2,,,,,,,0.73,0.25,18.4,33.98
