,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.0,0.99,1.0,0.95,0.96,0.93,0.93,0.89,0.91,0.89,0.95,0.93,0.89,0.89,0.87,0.91,1.26,1.03,1.26,1.08,1.2,1.18,1.19,1.17,1.2,1.19,1.29,0.62,1.25,1.09
E,1.0,1.0,1.0,0.96,0.97,0.9,0.93,0.9,0.93,0.89,0.96,0.89,0.92,0.89,0.84,0.89,1.27,1.01,1.27,1.05,1.21,1.19,1.18,1.19,1.19,1.22,1.3,0.54,1.26,1.08
NE,1.01,1.0,1.0,0.95,0.97,1.02,0.92,0.92,0.9,0.9,0.95,0.92,0.85,0.85,0.93,0.92,1.27,1.06,1.27,1.09,1.2,1.19,1.22,1.19,1.21,1.2,1.3,0.66,1.26,1.09
ESE,1.04,1.04,1.02,1.0,1.01,0.86,0.96,0.97,0.98,0.95,0.99,0.86,0.96,0.92,0.88,0.9,1.31,1.06,1.31,1.09,1.26,1.23,1.22,1.23,1.23,1.24,1.34,0.57,1.3,1.12
SW,1.08,1.04,1.07,1.0,1.0,1.03,1.0,0.99,0.98,1.05,0.95,1.05,0.96,0.96,0.99,0.89,1.32,1.0,1.32,0.99,1.26,1.27,1.21,1.32,1.22,1.27,1.36,0.58,1.32,1.16
NW,1.03,1.05,0.99,1.13,0.99,1.0,1.07,0.95,1.06,0.94,0.93,0.93,1.05,1.08,0.93,0.89,1.31,2.02,1.3,1.57,1.26,1.22,1.38,1.22,1.4,1.24,1.36,0.86,1.32,1.14
SSW,1.11,1.11,1.12,1.06,1.03,1.06,1.0,1.06,0.99,1.04,0.97,0.95,0.98,0.98,1.01,0.9,1.36,1.06,1.36,1.07,1.31,1.29,1.27,1.36,1.27,1.3,1.39,,1.36,1.19
NNE,1.09,1.06,1.08,1.03,0.99,1.04,0.94,1.0,0.94,0.98,0.97,1.0,0.9,0.91,0.94,0.94,1.35,1.24,1.34,1.25,1.29,1.3,1.33,1.27,1.31,1.26,1.4,0.87,1.35,1.14
SE,1.1,1.08,1.08,1.02,1.05,1.0,1.0,1.05,1.0,1.03,1.03,0.92,0.98,0.98,0.94,0.92,1.37,1.08,1.37,1.12,1.32,1.29,1.28,1.32,1.26,1.3,1.4,0.56,1.36,1.19
N,1.12,1.07,1.11,1.02,0.95,1.02,0.94,1.01,1.0,1.0,0.9,1.0,0.96,0.97,0.95,0.84,1.35,1.37,1.34,1.31,1.31,1.28,1.36,1.24,1.34,1.26,1.4,0.95,1.36,1.15
WSW,1.0,1.01,0.99,1.01,1.1,1.12,1.03,0.98,0.98,1.08,1.0,1.13,1.01,0.95,1.01,0.91,1.38,0.97,1.38,0.99,1.3,1.29,1.24,1.35,1.26,1.32,1.41,0.72,1.37,1.21
NNW,1.13,1.11,1.1,1.09,0.97,1.03,1.07,1.0,1.13,1.0,0.88,1.0,1.05,1.03,0.95,0.82,1.36,1.82,1.36,1.59,1.33,1.27,1.43,1.26,1.43,1.27,1.42,,1.38,1.19
S,1.14,1.12,1.13,1.08,1.04,1.12,1.01,1.1,1.03,1.06,1.05,1.0,1.0,0.98,1.02,0.94,1.4,1.09,1.4,1.12,1.34,1.31,1.3,1.36,1.3,1.31,1.43,0.55,1.39,1.22
SSE,1.15,1.14,1.17,1.12,1.04,0.99,1.03,1.13,1.02,1.06,1.03,0.98,1.02,1.0,1.01,0.94,1.42,1.13,1.42,1.17,1.36,1.32,1.34,1.37,1.32,1.34,1.45,0.58,1.41,1.22
WNW,1.11,1.14,1.09,1.18,1.01,1.09,1.07,1.07,1.07,1.07,1.01,1.02,1.07,1.04,1.0,1.01,1.4,1.8,1.39,1.53,1.36,1.32,1.4,1.3,1.44,1.31,1.46,0.89,1.42,1.21
W,1.13,1.1,1.09,1.08,1.19,1.18,1.07,1.06,1.02,1.1,1.1,1.14,1.02,1.02,1.06,1.0,1.46,1.14,1.46,1.16,1.37,1.37,1.37,1.41,1.37,1.35,1.51,0.86,1.47,1.31
PM2.5_0,0.79,0.78,0.78,0.76,0.75,0.79,0.72,0.74,0.71,0.76,0.72,0.76,0.7,0.69,0.74,0.68,1.0,0.85,1.0,0.86,0.96,0.94,0.96,0.95,0.96,0.95,1.03,0.53,1.0,0.88
PM2.5_1,0.96,0.97,0.95,0.94,0.96,0.64,0.96,0.84,0.95,0.75,0.95,0.64,0.93,0.91,0.6,0.77,1.18,1.0,1.17,1.02,1.11,1.12,1.09,1.11,1.1,1.09,1.21,0.3,1.18,0.87
PM10_0,0.79,0.78,0.79,0.76,0.74,0.8,0.71,0.74,0.72,0.76,0.71,0.76,0.7,0.69,0.74,0.68,1.0,0.86,1.0,0.86,0.96,0.94,0.96,0.95,0.96,0.95,1.03,0.53,1.0,0.89
PM10_1,0.95,0.95,0.94,0.92,0.97,0.67,0.96,0.84,0.92,0.74,0.98,0.66,0.92,0.9,0.63,0.81,1.17,0.97,1.16,1.0,1.1,1.11,1.08,1.1,1.09,1.1,1.19,0.24,1.16,0.89
TEMP_1,0.84,0.83,0.83,0.8,0.79,0.79,0.77,0.78,0.77,0.77,0.77,0.76,0.75,0.74,0.74,0.72,1.04,0.9,1.04,0.9,1.0,0.98,1.0,0.98,1.0,0.98,1.07,0.5,1.04,0.9
TEMP_0,0.85,0.83,0.84,0.81,0.8,0.8,0.78,0.77,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.71,1.06,0.9,1.06,0.91,1.02,1.0,1.0,1.01,1.0,1.01,1.09,,1.06,0.92
PRES_0,0.83,0.83,0.82,0.81,0.82,0.77,0.8,0.76,0.78,0.75,0.79,0.73,0.77,0.76,0.72,0.72,1.05,0.89,1.05,0.9,1.0,1.0,1.0,0.99,1.0,1.0,1.08,0.51,1.05,0.9
PRES_1,0.85,0.83,0.84,0.81,0.77,0.82,0.75,0.79,0.76,0.8,0.74,0.79,0.73,0.74,0.77,0.71,1.06,0.9,1.06,0.92,1.02,0.99,1.01,1.0,1.01,1.0,1.09,0.48,1.06,0.93
DEWP_1,0.84,0.84,0.83,0.81,0.81,0.75,0.79,0.76,0.78,0.76,0.78,0.73,0.76,0.76,0.71,0.71,1.05,0.88,1.05,0.9,1.0,1.0,1.0,0.99,1.0,0.99,1.08,0.5,1.05,0.9
DEWP_0,0.84,0.83,0.83,0.8,0.78,0.83,0.76,0.79,0.76,0.79,0.75,0.79,0.75,0.73,0.77,0.72,1.06,0.91,1.06,0.91,1.01,0.99,1.01,1.0,1.01,1.0,1.09,,1.06,0.92
RAIN_0,0.78,0.77,0.77,0.75,0.74,0.74,0.72,0.72,0.71,0.71,0.71,0.71,0.7,0.69,0.69,0.66,0.97,0.83,0.97,0.84,0.93,0.92,0.93,0.92,0.93,0.92,1.0,0.47,0.97,0.84
RAIN_1,1.61,1.86,1.52,1.56,1.46,,,1.43,1.48,,,,1.7,1.88,1.46,,2.07,,2.08,,2.0,,1.95,,1.97,,2.12,1.0,2.06,2.05
WSPM_0,0.8,0.79,0.79,0.76,0.76,0.75,0.73,0.73,0.73,0.73,0.74,0.72,0.71,0.7,0.7,0.68,1.0,0.81,1.0,0.83,0.96,0.94,0.94,0.95,0.94,0.95,1.03,0.48,1.0,0.87
WSPM_1,0.92,0.93,0.92,0.91,0.87,0.89,0.88,0.87,0.88,0.87,0.82,0.84,0.86,0.87,0.84,0.79,1.15,1.33,1.15,1.17,1.12,1.08,1.16,1.08,1.15,1.09,1.19,0.61,1.16,1.0
