,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.54,5.35,0.6,2.64,0.59,2.8,0.83,0.52,0.79,0.65,1.05
TEMP_0,5.61,0.47,2.97,0.54,3.58,0.54,0.86,0.56,0.88,0.71,0.45
PRES_0,0.59,2.82,0.52,7.47,0.61,2.4,0.83,0.53,0.82,0.62,0.82
PRES_1,2.44,0.54,7.18,0.49,2.52,0.58,0.86,0.54,0.83,0.75,0.53
DEWP_1,0.58,3.17,0.61,2.43,0.52,9.02,0.8,0.63,0.82,0.63,0.91
DEWP_0,2.63,0.53,2.3,0.57,9.07,0.49,0.9,0.46,0.83,0.74,0.49
WSPM_0,0.92,0.94,0.92,0.97,0.88,1.05,0.79,0.76,0.88,0.63,0.56
WSPM_1,0.98,0.88,1.03,0.88,1.37,0.72,1.11,0.26,0.67,0.95,1.33
PM10_0,0.91,0.97,0.98,0.94,0.98,0.94,0.87,0.45,0.59,1.31,6.58
PM10_1,0.9,0.95,0.86,1.02,0.87,1.05,0.82,0.66,1.55,0.37,0.6
PM10_2,1.62,0.61,1.25,0.71,1.4,0.71,0.81,1.02,4.43,0.73,0.09
