,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.32,1.0,0.46,1.04,1.3,1.05,1.08,0.78
PRES_0,1.0,1.0,0.24,1.0,0.46,1.04,1.3,1.05,1.08,0.78
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.32,1.0,0.37,1.04,1.3,1.05,1.08,0.78
DEWP_0,1.5,1.5,,1.42,6.21,1.53,2.22,1.67,1.72,
WSPM_0,1.01,1.01,0.36,1.01,0.37,1.05,1.28,1.06,1.09,0.79
WSPM_1,1.16,1.16,,1.16,0.93,1.2,1.77,1.21,1.33,0.84
PM10_0,1.03,1.03,0.4,1.03,0.56,1.07,1.4,1.14,0.97,0.65
PM10_1,1.09,1.09,,1.1,,1.14,1.28,1.04,1.5,1.06
PM10_2,1.43,1.43,,1.43,,1.49,1.62,1.08,2.03,4.27
