,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.19,0.95,0.56,0.89,0.69,0.24
PRES_0,1.0,1.0,,1.0,0.19,0.95,0.56,0.89,0.69,0.24
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.96,0.56,0.89,0.69,0.24
DEWP_0,1.73,1.73,,,4.61,1.1,2.01,1.81,,
WSPM_0,1.02,1.01,,1.02,0.13,1.0,0.43,0.9,0.71,0.27
WSPM_1,1.21,1.21,,1.2,0.48,0.87,1.28,1.11,0.8,
PM10_0,1.04,1.04,,1.04,0.24,0.98,0.62,1.08,0.34,
PM10_1,1.13,1.13,,1.13,,1.11,0.52,0.48,1.32,0.29
PM10_2,1.6,1.6,,1.61,,1.45,,,1.2,3.14
