,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.14,1.0,0.27,1.09,1.87,1.12,1.25,0.76
PRES_0,1.0,1.0,0.08,1.0,0.27,1.09,1.88,1.12,1.25,0.76
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.14,1.0,0.18,1.1,1.87,1.12,1.25,0.76
DEWP_0,0.92,0.92,,0.82,20.56,0.99,2.45,1.17,1.24,
WSPM_0,1.0,1.0,0.16,1.0,0.19,1.1,1.76,1.12,1.24,0.78
WSPM_1,1.0,1.0,,1.0,0.75,1.09,2.57,1.13,1.27,0.68
PM10_0,1.0,1.0,0.21,1.0,0.37,1.09,1.98,1.25,0.95,0.44
PM10_1,1.0,1.0,,1.0,,1.09,1.64,0.91,1.98,1.28
PM10_2,1.0,1.0,,1.0,,1.1,1.59,0.63,2.02,11.38
