,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.07,0.92,0.38,0.82,0.54,0.09
PRES_0,1.0,1.0,,1.0,0.07,0.93,0.38,0.82,0.54,0.09
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.93,0.38,0.82,0.54,0.09
DEWP_0,15.24,15.23,,,1.0,13.91,5.85,12.34,,
WSPM_0,1.08,1.08,,1.08,0.07,1.0,0.41,0.89,0.58,0.11
WSPM_1,2.63,2.63,,2.62,0.17,2.43,1.0,2.11,1.53,
PM10_0,1.22,1.22,,1.22,0.08,1.12,0.47,1.0,0.65,
PM10_1,1.86,1.86,,1.85,,1.73,0.65,1.53,1.0,0.17
PM10_2,10.64,10.63,,10.61,,9.21,,,5.84,1.0
