,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.37,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_0,1.0,1.0,0.56,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.37,1.0,0.45,0.86,0.2,0.73,0.43,0.15
DEWP_0,18.92,18.9,,18.84,0.1,16.18,2.74,12.73,7.39,0.23
WSPM_0,1.08,1.08,0.54,1.08,0.43,0.93,0.22,0.79,0.45,0.15
WSPM_1,2.65,2.65,,2.64,0.48,2.27,0.44,1.89,1.33,0.42
PM10_0,1.22,1.22,0.3,1.22,0.37,1.05,0.24,0.83,0.63,0.35
PM10_1,1.86,1.86,,1.85,0.84,1.59,0.35,1.51,0.56,0.14
PM10_2,10.64,10.62,,10.59,,9.09,2.11,10.15,3.38,0.14
