,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.99,0.65,1.0,0.39,0.95,0.81,0.95,0.79
TEMP_1,,,,,,,,,,
PRES_1,1.0,,1.02,0.32,1.0,0.37,0.95,0.82,0.97,0.77
PRES_0,1.2,,0.58,2.13,1.2,,1.2,0.83,1.0,1.25
DEWP_0,1.0,,0.99,0.65,1.0,,0.95,0.81,0.96,0.79
DEWP_1,1.5,,1.28,,,5.18,1.5,,,2.19
WSPM_0,1.02,,1.01,0.69,1.02,0.42,1.06,0.52,0.95,0.88
WSPM_1,1.1,,1.09,0.61,1.1,,0.66,1.36,1.13,0.56
PM10_0,1.02,,1.02,0.57,1.02,,0.93,0.9,1.07,0.37
PM10_1,1.1,,1.06,0.95,1.1,0.61,1.16,0.47,0.48,1.49
