,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.21,1.02,0.66,1.0,0.42,1.15,1.32,1.08,1.24,0.87
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.28,1.04,0.35,1.0,0.36,1.14,1.35,1.1,1.19,0.82
PRES_0,1.0,,0.7,4.68,1.0,1.18,1.2,0.91,0.76,1.87,1.52
DEWP_0,1.0,0.26,1.02,0.65,1.0,0.35,1.14,1.32,1.08,1.24,0.86
DEWP_1,1.0,,1.04,,1.0,24.42,1.2,,,1.43,
WSPM_0,1.0,0.34,1.02,0.67,1.0,0.37,1.19,1.05,1.01,1.38,0.96
WSPM_1,1.0,,1.02,0.62,1.0,,1.03,2.08,1.27,0.85,0.62
PM10_0,1.0,0.23,1.03,0.46,1.0,,1.11,1.72,1.35,0.84,0.32
PM10_1,1.0,0.41,1.0,0.92,1.0,0.49,1.19,0.84,0.84,1.97,0.93
PM10_2,1.0,,1.0,1.03,1.0,1.01,1.19,0.5,0.31,1.42,3.46
