,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,947050851.24,1.01,17099359.24,1.73,626.48,3.72,57.11,3031645.68
PRES_0,1.0,1.0,,1.01,17089667.38,1.72,625.93,3.72,57.08,3029927.35
PRES_1,,,,,,,,,,
DEWP_1,0.99,1.0,944955662.86,1.01,12929984.72,1.72,623.11,3.71,56.84,3047953.31
DEWP_0,,,,,751816.83,0.01,3.32,0.02,0.27,
WSPM_0,0.85,0.86,900422504.72,0.87,11537181.75,1.48,512.62,3.19,48.53,2673809.14
WSPM_1,0.15,0.15,,0.15,4489353.11,0.25,111.1,0.54,8.61,352212.96
PM10_0,0.67,0.68,776761148.48,0.68,13769728.77,1.16,441.67,2.67,32.6,1599144.4
PM10_1,0.29,0.29,,0.29,,0.5,160.02,0.95,21.38,1101758.41
PM10_2,0.01,0.01,,0.01,,0.02,5.18,0.02,0.68,110069.0
