,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.28,0.98,0.57,1.0,0.29,0.91,0.7,0.93,0.72
TEMP_1,,,,,,,,,,
PRES_1,1.02,0.26,0.99,0.69,1.02,0.32,0.93,0.72,0.94,0.74
PRES_0,2.05,,2.3,0.76,2.06,,1.89,1.39,2.0,1.27
DEWP_0,1.0,0.25,0.98,0.57,1.0,0.31,0.91,0.7,0.93,0.72
DEWP_1,4.83,,4.3,,4.94,0.57,4.6,,,3.35
WSPM_0,1.08,0.25,1.07,0.58,1.08,0.27,0.97,0.83,1.02,0.72
WSPM_1,1.44,,1.4,1.06,1.43,,1.39,0.88,1.29,1.71
PM10_0,1.08,0.25,1.06,0.66,1.08,,0.98,0.75,0.97,0.91
PM10_1,1.48,,1.45,0.74,1.48,0.28,1.34,1.04,1.59,0.86
