,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.53,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_0,1.0,1.0,,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.52,1.0,0.66,0.86,0.27,0.78,0.52,0.24
DEWP_0,1.26,1.26,,1.55,0.01,1.08,0.18,0.85,0.71,
WSPM_0,1.0,1.0,0.5,1.0,0.62,0.86,0.3,0.78,0.51,0.23
WSPM_1,1.01,1.01,,1.01,0.18,0.87,0.19,0.75,0.61,0.25
PM10_0,1.0,1.0,0.35,1.0,0.39,0.86,0.28,0.68,0.71,0.56
PM10_1,1.0,1.0,,1.0,,0.86,0.26,1.01,0.31,0.12
PM10_2,1.0,1.0,,1.0,,0.86,0.31,1.35,0.34,0.01
