,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.1,0.32,1.03,0.57,0.78,0.94,0.91,0.81,0.97,0.7
TEMP_0,0.38,1.2,0.8,1.02,1.09,0.63,1.04,0.72,1.03,0.72
PRES_0,1.0,0.63,1.09,0.23,0.78,0.92,0.92,0.76,0.95,0.71
PRES_1,0.71,1.1,0.3,1.25,1.13,0.58,1.02,0.81,1.07,0.69
DEWP_0,0.8,0.93,0.83,0.92,1.12,0.29,0.91,0.83,0.99,0.67
DEWP_1,1.08,0.61,1.1,0.51,0.33,1.18,1.03,0.71,0.99,0.76
WSPM_0,0.86,0.84,0.93,0.76,0.85,0.85,1.03,0.52,0.95,0.71
WSPM_1,1.06,0.75,1.01,0.83,1.03,0.8,0.7,1.12,1.07,0.69
PM10_0,0.89,0.78,0.9,0.77,0.88,0.79,0.89,0.78,1.05,0.35
PM10_1,1.02,0.91,1.1,0.78,0.95,0.98,1.12,0.74,0.57,1.27
