,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.99,0.62,1.0,0.35,1.0,0.89,0.97,0.8
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.28,1.02,0.43,1.01,0.34,1.0,0.9,0.98,0.79
PRES_0,1.31,,0.97,1.96,1.32,,1.36,0.95,1.16,1.32
DEWP_0,1.0,0.27,1.0,0.61,1.0,0.3,1.0,0.89,0.97,0.8
DEWP_1,1.81,,1.43,,1.69,4.01,1.97,,,2.51
WSPM_0,1.03,0.3,1.02,0.64,1.03,0.34,1.07,0.75,0.98,0.88
WSPM_1,1.15,,1.14,0.71,1.15,,0.98,1.36,1.17,0.79
PM10_0,1.03,0.28,1.03,0.57,1.03,,1.01,1.0,1.07,0.57
PM10_1,1.16,,1.12,0.91,1.16,0.52,1.22,0.59,0.8,1.42
