,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1248111739.89,1.01,21308718.85,1.73,777.49,3.89,65.4,4298351.36
PRES_0,1.0,1.0,1063789973.15,1.01,21296641.13,1.73,776.24,3.88,65.36,4295915.06
PRES_1,,,,,,,,,,
DEWP_1,0.99,1.0,1245350505.67,1.01,18827219.53,1.72,774.01,3.87,65.09,4226012.84
DEWP_0,,,,,658411.65,0.01,3.48,0.02,0.32,48819.96
WSPM_0,0.85,0.86,1342952646.11,0.87,15418761.01,1.48,656.08,3.32,55.29,3515295.86
WSPM_1,0.15,0.15,,0.15,5105054.59,0.25,121.05,0.56,10.16,789263.33
PM10_0,0.67,0.67,1023688123.23,0.68,16978582.59,1.16,535.81,2.69,40.83,2454452.56
PM10_1,0.29,0.29,,0.29,3357534.94,0.5,210.56,1.08,21.75,1520491.59
PM10_2,0.01,0.01,,0.01,,0.02,6.1,0.03,0.68,113260.07
