,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.53,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_0,1.0,1.0,,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_1,,,,,,,,,,
DEWP_1,1.0,0.99,0.52,0.99,0.66,0.85,0.27,0.77,0.52,0.24
DEWP_0,0.01,0.01,,0.01,,,,,,
WSPM_0,0.86,0.85,0.43,0.85,0.53,0.73,0.25,0.67,0.43,0.19
WSPM_1,0.15,0.15,,0.15,0.03,0.13,0.03,0.11,0.09,0.04
PM10_0,0.67,0.67,0.24,0.67,0.26,0.58,0.19,0.46,0.48,0.38
PM10_1,0.29,0.29,,0.29,,0.25,0.08,0.29,0.09,0.03
PM10_2,0.01,0.01,,0.01,,0.01,,0.01,,
