,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.94,1.11,0.98,1.08,1.07,0.91,0.99,0.83,1.03,0.83
TEMP_0,1.29,0.89,1.24,0.9,1.02,1.2,1.06,0.96,1.13,0.93
PRES_0,0.95,0.97,0.95,1.24,1.04,0.89,0.97,0.84,1.02,0.8
PRES_1,1.24,0.96,1.51,0.87,1.04,1.36,1.1,0.93,1.15,1.01
DEWP_0,1.07,0.89,1.09,0.88,0.93,1.25,1.01,0.86,1.04,0.87
DEWP_1,1.02,1.12,1.05,1.16,1.38,0.9,1.04,0.91,1.11,0.87
WSPM_0,0.98,0.91,1.01,0.92,0.99,0.91,0.95,0.87,1.03,0.79
WSPM_1,1.13,1.07,1.16,1.05,1.1,1.17,1.14,0.89,1.13,1.04
PM10_0,0.97,0.89,1.0,0.89,0.96,0.93,0.95,0.82,0.96,0.91
PM10_1,1.18,1.11,1.21,1.15,1.2,1.13,1.17,0.98,1.37,0.85
