,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.2,0.31,0.84,1.06,1.11,0.59,1.02,0.77,1.02,0.76
TEMP_0,0.32,1.24,1.11,0.57,0.77,1.12,1.03,0.77,0.98,0.9
PRES_1,0.8,1.03,1.13,0.3,0.85,1.01,1.0,0.79,0.99,0.8
PRES_0,1.18,0.59,0.34,1.37,1.16,0.52,1.06,0.72,1.01,0.89
DEWP_1,1.07,0.72,0.86,1.02,1.15,0.24,1.04,0.56,0.96,0.87
DEWP_0,0.64,1.18,1.14,0.5,0.28,1.33,0.98,1.0,1.06,0.74
WSPM_0,0.91,0.9,0.94,0.86,0.96,0.82,1.03,0.5,0.95,0.84
WSPM_1,1.03,1.01,1.11,0.88,0.83,1.22,0.75,1.55,1.18,0.55
PM10_0,0.94,0.88,0.96,0.84,0.92,0.91,0.97,0.82,1.08,0.36
PM10_1,0.93,1.04,1.01,0.97,1.09,0.83,1.14,0.39,0.48,1.49
