,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.18,1.0,0.3,1.09,1.38,1.05,1.05,0.63
PRES_0,1.0,1.0,,1.0,0.3,1.09,1.38,1.05,1.05,0.63
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.18,1.0,0.14,1.09,1.37,1.05,1.05,0.64
DEWP_0,1.0,1.0,,0.59,37.64,0.74,2.97,1.29,,
WSPM_0,1.0,1.0,0.21,1.0,0.15,1.11,1.13,1.05,1.06,0.67
WSPM_1,1.0,1.0,,1.0,1.22,1.0,2.84,1.07,1.0,0.41
PM10_0,1.0,1.0,0.27,1.0,0.41,1.09,1.49,1.28,0.59,0.27
PM10_1,1.0,1.0,,1.0,,1.1,1.11,0.61,2.15,1.02
PM10_2,1.0,1.0,,1.0,,1.09,1.19,0.32,2.04,17.55
