,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.28,0.56,0.28,0.73,0.4,0.38,0.27,0.41,0.36,0.37,1.56
TEMP_0,0.12,0.1,0.11,0.13,0.09,0.18,0.08,0.12,0.11,0.12,0.46
PRES_0,0.38,0.65,0.35,1.21,0.51,0.49,0.35,0.53,0.47,0.48,1.9
PRES_1,0.07,0.07,0.09,0.07,0.06,0.13,0.05,0.08,0.07,0.08,0.35
DEWP_0,0.29,0.31,0.28,0.38,0.24,0.56,0.22,0.33,0.29,0.32,1.34
DEWP_1,0.11,0.23,0.11,0.32,0.21,0.13,0.11,0.16,0.14,0.14,0.58
WSPM_0,0.41,0.58,0.4,0.74,0.47,0.55,0.35,0.55,0.49,0.49,1.86
WSPM_1,0.06,0.08,0.06,0.1,0.06,0.09,0.05,0.07,0.06,0.07,0.37
PM10_0,0.16,0.22,0.16,0.27,0.17,0.24,0.14,0.2,0.16,0.22,1.75
PM10_1,0.11,0.16,0.1,0.2,0.13,0.14,0.1,0.15,0.15,0.12,0.47
PM10_2,,,,,,,,,,,
