,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.76,0.75,0.75,0.7,0.74,0.75,0.7,0.63,0.66,0.65,0.69,0.69,0.64,0.63,0.64,0.61,1.48,0.99,1.46,1.03,1.41,1.35,1.4,1.33,1.4,1.39,1.57,0.35,1.44,1.03
E,0.77,0.76,0.78,0.69,0.75,0.75,0.7,0.65,0.65,0.66,0.72,0.68,0.65,0.62,0.64,0.62,1.51,0.98,1.49,1.01,1.41,1.4,1.36,1.41,1.38,1.46,1.59,0.31,1.47,1.02
NE,0.79,0.78,0.76,0.73,0.75,0.79,0.71,0.65,0.65,0.66,0.72,0.7,0.64,0.63,0.69,0.62,1.5,1.04,1.48,1.07,1.45,1.34,1.48,1.34,1.46,1.38,1.6,0.39,1.47,1.03
ESE,0.83,0.81,0.83,0.74,0.82,0.77,0.74,0.72,0.69,0.72,0.78,0.69,0.69,0.64,0.69,0.64,1.59,1.04,1.57,1.08,1.47,1.48,1.44,1.5,1.44,1.53,1.69,0.34,1.55,1.06
SW,0.9,0.84,0.87,0.79,0.73,0.88,0.69,0.75,0.71,0.79,0.68,0.84,0.65,0.65,0.76,0.61,1.59,1.04,1.59,1.01,1.47,1.54,1.42,1.62,1.45,1.55,1.72,0.39,1.58,1.08
NW,0.89,0.89,0.82,0.92,0.8,0.73,0.87,0.71,0.86,0.68,0.69,0.64,0.82,0.84,0.62,0.59,1.58,2.28,1.57,1.7,1.63,1.37,1.75,1.41,1.89,1.39,1.72,0.69,1.59,1.04
SSW,0.93,0.89,0.94,0.82,0.78,0.95,0.72,0.81,0.72,0.81,0.74,0.81,0.67,0.66,0.81,0.67,1.68,1.09,1.66,1.11,1.53,1.65,1.48,1.75,1.5,1.71,1.8,0.25,1.66,1.12
NNE,0.89,0.87,0.86,0.81,0.84,0.86,0.78,0.72,0.76,0.72,0.76,0.76,0.72,0.72,0.72,0.66,1.68,1.34,1.67,1.31,1.59,1.58,1.64,1.57,1.62,1.59,1.81,0.5,1.66,1.13
SE,0.91,0.87,0.9,0.79,0.86,0.89,0.77,0.8,0.72,0.83,0.85,0.79,0.72,0.68,0.77,0.7,1.7,1.1,1.69,1.14,1.58,1.6,1.54,1.65,1.52,1.65,1.82,0.36,1.67,1.16
N,0.93,0.89,0.9,0.84,0.82,0.84,0.79,0.74,0.81,0.72,0.72,0.73,0.77,0.78,0.7,0.61,1.67,1.47,1.66,1.38,1.65,1.52,1.72,1.53,1.71,1.54,1.82,0.62,1.67,1.13
WSW,0.89,0.87,0.87,0.83,0.82,0.95,0.74,0.77,0.75,0.84,0.71,0.89,0.7,0.68,0.75,0.62,1.71,1.11,1.7,1.09,1.58,1.59,1.52,1.68,1.56,1.63,1.84,0.49,1.69,1.16
NNW,0.96,0.94,0.91,0.93,0.84,0.79,0.92,0.75,0.95,0.72,0.69,0.7,0.86,0.89,0.67,0.59,1.71,2.03,1.69,1.69,1.74,1.49,1.87,1.52,1.93,1.5,1.85,0.75,1.71,1.14
S,0.98,0.92,0.98,0.84,0.84,1.04,0.75,0.85,0.76,0.84,0.84,0.88,0.7,0.68,0.88,0.71,1.77,1.13,1.76,1.16,1.62,1.7,1.58,1.77,1.57,1.75,1.89,0.39,1.74,1.19
SSE,0.97,0.94,1.0,0.87,0.87,0.96,0.79,0.88,0.75,0.85,0.88,0.84,0.73,0.7,0.86,0.74,1.82,1.19,1.79,1.21,1.65,1.73,1.63,1.81,1.62,1.79,1.93,0.42,1.77,1.22
WNW,1.0,0.98,0.95,1.01,0.86,0.84,0.88,0.83,0.93,0.82,0.79,0.75,0.91,0.89,0.69,0.69,1.78,2.13,1.77,1.72,1.76,1.59,1.79,1.62,1.95,1.59,1.94,0.6,1.81,1.18
W,1.03,0.97,0.98,0.94,0.95,1.05,0.82,0.86,0.86,0.87,0.83,0.91,0.82,0.79,0.79,0.69,1.91,1.39,1.9,1.33,1.79,1.76,1.79,1.84,1.83,1.75,2.07,0.61,1.91,1.32
PM2.5_0,0.53,0.51,0.51,0.48,0.47,0.52,0.44,0.44,0.43,0.45,0.43,0.46,0.41,0.4,0.44,0.38,0.97,0.75,0.96,0.73,0.92,0.91,0.93,0.93,0.93,0.93,1.05,0.26,0.97,0.67
PM2.5_1,0.7,0.69,0.69,0.64,0.71,0.52,0.68,0.57,0.62,0.52,0.7,0.5,0.62,0.59,0.45,0.54,1.37,0.81,1.34,0.84,1.27,1.17,1.23,1.18,1.25,1.18,1.4,0.23,1.29,0.82
PM10_0,0.53,0.51,0.51,0.48,0.47,0.52,0.44,0.44,0.44,0.45,0.43,0.46,0.41,0.41,0.44,0.38,0.97,0.76,0.97,0.74,0.93,0.91,0.93,0.93,0.94,0.93,1.05,0.26,0.97,0.67
PM10_1,0.69,0.68,0.68,0.63,0.7,0.53,0.65,0.56,0.6,0.52,0.7,0.5,0.61,0.57,0.46,0.54,1.33,0.8,1.31,0.82,1.24,1.14,1.19,1.16,1.22,1.16,1.37,0.21,1.26,0.81
TEMP_1,0.57,0.55,0.56,0.51,0.52,0.56,0.48,0.48,0.47,0.48,0.48,0.49,0.44,0.43,0.47,0.41,1.05,0.79,1.05,0.78,0.92,1.17,0.93,1.16,0.92,1.17,1.14,0.23,1.04,0.71
