,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.04,0.26,0.1,0.04,0.05,0.19,0.07,0.04,0.06,0.05,0.07
TEMP_0,0.16,0.02,0.03,0.11,0.08,0.03,0.04,0.03,0.04,0.04,0.03
PRES_1,0.22,0.12,0.12,0.71,0.23,0.12,0.17,0.09,0.15,0.14,0.13
PRES_0,0.01,0.03,0.05,,0.01,0.05,0.01,0.01,0.01,0.01,0.01
DEWP_1,0.1,0.22,0.17,0.09,0.09,0.88,0.13,0.1,0.14,0.09,0.09
DEWP_0,0.05,0.01,0.01,0.06,0.13,0.01,0.02,0.01,0.02,0.02,0.02
WSPM_0,0.47,0.47,0.5,0.45,0.47,0.56,0.46,0.38,0.48,0.34,0.31
WSPM_1,,,,,,,,,,,
PM10_0,0.09,0.09,0.09,0.1,0.11,0.07,0.09,0.04,0.06,0.15,2.5
PM10_1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,,0.01
PM10_2,,,,,,,,,,,
