,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.01
DEWP_0,1.02,1.02,,1.02,1.02,1.02,0.98,1.02,1.08,0.78
WSPM_0,1.0,1.0,1.26,1.0,0.96,1.0,1.0,1.0,0.98,0.98
WSPM_1,1.0,1.0,,1.0,1.11,1.0,1.0,1.0,1.1,1.15
PM10_0,1.0,1.0,1.0,1.0,1.07,1.0,1.02,1.0,0.99,1.14
PM10_1,1.0,1.0,,1.0,0.72,1.0,0.94,1.0,1.0,0.91
PM10_2,1.0,1.0,,1.0,,1.0,0.96,1.03,1.03,1.0
