,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.35,1.25,1.28,1.0,0.61,0.62,0.58,1.03,0.79,0.9,0.72,0.71,0.56,0.66,0.62,0.76,1.25,1.01,1.25,1.06,1.08,1.14,1.09,1.12,1.11,1.07,1.35,0.34,1.37,0.8
E,1.26,1.33,1.13,1.21,0.7,0.61,0.67,0.87,0.99,0.85,0.73,0.66,0.73,0.78,0.59,0.72,1.27,0.99,1.27,1.04,1.14,1.1,1.15,1.09,1.17,1.04,1.36,0.28,1.39,0.81
NE,1.24,1.11,1.37,0.92,0.74,0.77,0.57,1.12,0.77,0.93,0.76,0.74,0.5,0.53,0.65,0.79,1.27,0.99,1.27,1.03,1.03,1.2,1.05,1.18,1.09,1.13,1.36,0.32,1.37,0.82
ESE,1.21,1.33,1.02,1.35,0.78,0.5,0.79,0.91,1.21,0.79,0.72,0.66,0.93,0.92,0.62,0.71,1.32,1.03,1.32,1.08,1.25,1.08,1.22,1.09,1.26,1.04,1.41,0.31,1.43,1.01
SW,0.87,0.92,0.78,0.92,1.48,0.7,1.4,0.67,0.91,0.58,1.15,0.61,1.19,1.07,0.79,0.83,1.41,0.82,1.42,0.88,1.32,1.03,1.23,1.14,1.19,1.17,1.43,,1.4,1.37
NW,0.87,0.8,0.89,0.76,0.65,1.56,0.65,0.83,0.53,0.99,0.67,1.29,0.48,0.52,1.35,0.78,1.42,0.97,1.41,1.04,1.04,1.31,1.08,1.27,0.99,1.35,1.43,,1.27,1.46
SSW,0.95,1.05,0.8,1.12,1.4,0.52,1.49,0.81,1.13,0.73,0.99,0.6,1.4,1.24,0.69,0.74,1.44,0.94,1.45,0.96,1.41,0.98,1.33,1.09,1.31,1.09,1.48,,1.48,1.35
NNE,1.35,1.18,1.41,0.97,0.63,0.94,0.52,1.39,0.7,1.23,0.82,1.13,0.51,0.56,0.77,0.75,1.41,0.98,1.41,1.04,1.21,1.25,1.23,1.19,1.26,1.14,1.48,,1.47,0.97
SE,1.07,1.22,1.0,1.37,0.99,0.57,1.03,0.91,1.41,0.79,0.74,0.52,1.12,1.31,0.47,0.68,1.41,1.06,1.43,1.11,1.33,1.13,1.29,1.15,1.29,1.13,1.48,0.34,1.51,1.17
N,1.17,1.05,1.28,0.83,0.7,1.12,0.56,1.3,0.64,1.43,0.7,1.32,0.66,0.64,0.86,0.65,1.42,1.01,1.43,1.06,1.18,1.28,1.2,1.23,1.19,1.24,1.49,,1.44,1.17
WSW,0.77,0.84,0.67,0.77,1.59,0.84,1.38,0.62,0.84,0.74,1.53,0.64,1.12,1.03,0.86,1.1,1.49,0.77,1.49,0.85,1.34,1.11,1.27,1.21,1.21,1.27,1.5,,1.45,1.43
NNW,0.97,0.96,1.08,0.73,0.63,1.45,0.54,1.06,0.69,1.36,0.71,1.55,0.52,0.57,1.16,0.7,1.49,0.96,1.48,1.06,1.14,1.34,1.13,1.33,1.09,1.37,1.5,,1.39,1.47
S,1.11,1.18,0.93,1.25,1.22,0.63,1.39,0.88,1.28,0.68,0.94,0.64,1.46,1.35,0.61,0.7,1.47,1.02,1.48,1.02,1.43,1.05,1.36,1.14,1.37,1.09,1.52,,1.55,1.29
SSE,1.06,1.26,1.02,1.48,1.01,0.59,1.22,0.93,1.39,0.83,0.82,0.55,1.41,1.43,0.53,0.69,1.49,1.08,1.49,1.14,1.44,1.04,1.38,1.13,1.37,1.13,1.54,,1.57,1.23
WNW,0.9,0.88,0.89,0.86,0.79,1.63,0.73,0.93,0.75,1.1,0.96,1.19,0.68,0.65,1.57,1.29,1.52,0.99,1.51,1.05,1.25,1.34,1.27,1.3,1.14,1.42,1.55,,1.38,1.48
W,0.84,0.92,0.84,0.95,1.45,1.2,1.26,0.8,0.91,1.02,1.64,1.0,1.08,0.94,1.17,1.46,1.62,0.83,1.61,0.94,1.39,1.32,1.36,1.3,1.28,1.37,1.62,,1.61,1.45
PM2.5_0,0.78,0.77,0.77,0.72,0.7,0.72,0.67,0.71,0.65,0.71,0.65,0.69,0.64,0.62,0.65,0.59,1.05,0.47,1.05,0.57,0.89,0.81,0.87,0.83,0.86,0.84,1.03,0.25,1.01,0.88
PM2.5_1,1.14,1.18,1.04,1.09,0.8,0.45,0.8,0.81,0.98,0.68,0.69,0.47,0.82,0.88,0.43,0.61,0.83,1.4,0.86,1.38,0.95,1.13,0.99,1.08,1.0,1.03,1.25,,1.28,0.6
PM10_0,0.79,0.78,0.78,0.73,0.7,0.72,0.67,0.72,0.66,0.72,0.65,0.69,0.64,0.61,0.65,0.59,1.04,0.52,1.05,0.54,0.89,0.82,0.86,0.83,0.86,0.83,1.04,0.25,1.02,0.88
PM10_1,1.09,1.13,1.0,1.03,0.85,0.52,0.83,0.77,0.95,0.66,0.72,0.5,0.83,0.87,0.49,0.63,0.93,1.26,0.88,1.36,0.97,1.1,1.0,1.05,0.98,1.04,1.23,,1.25,0.7
