,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.14,0.52,0.87,0.98,1.08,0.55,1.08,0.8,1.05,0.74
TEMP_0,0.56,1.17,1.11,0.57,0.78,1.05,1.09,0.78,1.03,0.83
PRES_1,0.8,0.99,1.09,0.45,0.84,0.92,1.04,0.77,1.01,0.74
PRES_0,1.16,0.61,0.57,1.25,1.17,0.52,1.16,0.81,1.1,0.86
DEWP_1,1.03,0.71,0.87,0.93,1.11,0.37,1.08,0.64,1.0,0.81
DEWP_0,0.68,1.15,1.16,0.54,0.47,1.23,1.09,0.98,1.11,0.72
WSPM_0,0.88,0.84,0.91,0.78,0.91,0.74,1.03,0.63,0.96,0.75
WSPM_1,1.08,1.11,1.21,0.94,0.98,1.2,1.14,1.41,1.31,0.82
PM10_0,0.89,0.84,0.94,0.77,0.89,0.82,1.02,0.82,1.06,0.52
PM10_1,1.01,1.06,1.07,0.95,1.12,0.81,1.23,0.42,0.82,1.33
