,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.36,0.49,0.78,1.28,1.22,0.33,1.07,1.74,1.14,1.3,0.64
TEMP_0,0.62,1.45,1.2,0.44,0.59,1.34,1.08,1.67,1.11,1.29,0.95
PRES_1,0.88,1.2,1.23,0.47,0.78,1.07,1.08,1.73,1.13,1.29,0.84
PRES_0,1.27,0.45,0.5,1.67,1.2,0.29,1.07,1.66,1.11,1.32,0.67
DEWP_1,1.27,0.66,0.84,1.17,1.26,0.31,1.08,1.51,1.07,1.38,0.75
DEWP_0,0.6,1.41,1.21,0.42,0.37,1.6,1.07,2.01,1.22,1.17,0.84
WSPM_0,1.03,0.93,0.97,0.88,0.95,0.74,1.08,1.58,1.1,1.34,0.8
WSPM_1,0.92,1.04,1.04,0.92,0.74,1.17,1.05,2.42,1.27,1.06,0.69
PM10_0,1.01,0.88,0.98,0.86,0.89,0.91,1.07,2.13,1.32,1.04,0.36
PM10_1,1.07,0.95,0.96,0.91,1.0,0.65,1.08,1.32,1.01,1.67,0.86
PM10_2,0.82,1.3,1.06,0.93,0.85,0.73,1.08,0.44,0.34,1.52,3.18
