,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.99,0.85,0.86,0.57,0.29,0.3,0.25,0.62,0.37,0.53,0.38,0.32,0.26,0.25,0.25,0.35,1.2,0.92,1.2,0.93,1.05,1.11,1.06,1.11,1.11,1.06,1.35,0.24,1.34,0.54
E,0.84,0.96,0.72,0.78,0.34,0.33,0.29,0.49,0.55,0.48,0.29,0.34,0.32,0.36,0.36,0.43,1.21,0.93,1.2,0.94,1.11,1.07,1.12,1.06,1.16,1.02,1.36,,1.36,0.48
NE,0.88,0.66,1.03,0.48,0.28,0.41,0.27,0.72,0.41,0.6,0.37,0.42,0.19,0.28,0.33,0.3,1.23,0.9,1.22,0.91,1.01,1.18,1.02,1.17,1.07,1.12,1.36,,1.34,0.61
ESE,0.74,0.95,0.55,1.0,0.35,0.26,0.34,0.45,0.81,0.36,0.37,0.27,0.49,0.49,0.38,0.35,1.26,0.95,1.25,0.98,1.21,1.05,1.19,1.07,1.24,1.01,1.41,,1.38,0.67
SW,0.37,0.37,0.37,0.43,1.19,0.34,0.93,0.3,0.48,0.17,0.78,0.29,0.69,0.57,0.41,0.46,1.36,0.73,1.36,0.76,1.29,0.97,1.23,1.06,1.18,1.12,1.43,,1.2,1.12
NW,0.48,0.37,0.49,0.34,0.35,1.28,0.23,0.42,0.21,0.48,0.38,0.85,,0.25,0.93,0.45,1.4,0.63,1.38,0.71,1.02,1.26,1.02,1.26,0.9,1.34,1.43,,1.01,1.33
SSW,0.38,0.43,0.26,0.55,0.96,0.28,1.15,0.26,0.55,0.28,0.57,,1.0,0.7,0.35,0.39,1.39,0.8,1.38,0.84,1.38,0.92,1.33,1.01,1.3,1.05,1.48,,1.33,1.0
NNE,0.85,0.68,0.95,0.49,0.22,0.46,0.28,1.0,0.29,0.82,0.39,0.73,0.25,0.28,0.33,0.36,1.38,0.88,1.38,0.87,1.18,1.2,1.19,1.19,1.24,1.14,1.48,,1.42,0.78
SE,0.6,0.68,0.5,0.9,0.5,0.35,0.55,0.47,1.06,0.46,0.38,0.25,0.59,0.95,0.3,0.42,1.34,0.96,1.33,0.99,1.28,1.09,1.27,1.11,1.28,1.09,1.48,,1.45,0.7
N,0.64,0.56,0.8,0.49,0.46,0.73,0.25,0.88,0.29,1.07,0.31,0.83,0.35,0.33,0.44,0.36,1.41,0.83,1.4,0.86,1.14,1.25,1.15,1.24,1.15,1.24,1.49,,1.34,1.0
WSW,0.27,0.45,0.23,0.33,1.1,0.39,0.8,0.29,0.4,0.34,1.26,0.26,0.58,0.48,0.43,0.75,1.45,0.7,1.44,0.75,1.3,1.09,1.25,1.15,1.22,1.19,1.5,,1.32,1.06
NNW,0.56,0.44,0.53,0.43,0.25,1.02,,0.6,0.34,0.98,0.36,1.19,0.25,0.28,0.6,0.34,1.46,0.69,1.44,0.78,1.11,1.3,1.07,1.33,1.01,1.37,1.5,,1.17,1.29
S,0.38,0.54,0.42,0.66,0.76,,0.93,0.37,0.87,0.23,0.49,0.33,1.06,0.94,0.28,0.45,1.41,0.9,1.41,0.89,1.41,0.98,1.36,1.06,1.36,1.07,1.52,,1.48,0.75
SSE,0.52,0.72,0.36,0.98,0.52,0.3,0.81,0.38,0.92,0.31,0.41,0.33,0.91,1.02,0.3,0.38,1.42,0.93,1.4,1.0,1.42,1.01,1.37,1.09,1.36,1.1,1.54,,1.47,0.84
WNW,0.48,0.4,0.41,0.46,0.43,1.18,0.37,0.43,0.33,0.52,0.59,0.72,0.35,0.31,1.21,0.84,1.5,0.74,1.48,0.83,1.22,1.28,1.22,1.28,1.06,1.4,1.55,,1.22,1.32
W,0.4,0.41,0.46,0.48,0.89,0.65,0.67,0.35,0.48,0.5,1.27,0.58,0.51,0.45,0.73,1.12,1.58,0.71,1.55,0.84,1.33,1.28,1.34,1.26,1.27,1.34,1.62,,1.51,0.97
PM2.5_0,0.49,0.47,0.49,0.44,0.46,0.48,0.43,0.42,0.4,0.42,0.41,0.43,0.38,0.36,0.4,0.34,1.04,0.26,1.03,0.39,0.87,0.79,0.85,0.81,0.84,0.82,1.03,0.14,0.93,0.69
PM2.5_1,0.73,0.73,0.67,0.66,0.45,0.26,0.45,0.47,0.55,0.44,0.42,0.28,0.48,0.52,0.27,0.37,0.5,1.38,0.6,1.34,0.91,1.09,0.96,1.05,0.99,1.02,1.25,,1.25,0.43
PM10_0,0.5,0.48,0.49,0.44,0.46,0.48,0.43,0.42,0.4,0.43,0.42,0.43,0.38,0.36,0.4,0.35,1.03,0.37,1.04,0.31,0.87,0.79,0.85,0.82,0.85,0.82,1.03,0.14,0.94,0.68
PM10_1,0.7,0.7,0.64,0.62,0.51,0.36,0.45,0.47,0.54,0.43,0.43,0.3,0.47,0.5,0.3,0.35,0.77,1.23,0.56,1.33,0.91,1.06,0.97,1.02,0.96,1.02,1.23,,1.21,0.56
TEMP_1,0.52,0.53,0.48,0.51,0.51,0.42,0.49,0.44,0.45,0.41,0.44,0.38,0.45,0.43,0.37,0.35,1.03,0.57,1.02,0.6,1.14,0.24,1.07,0.56,1.08,0.54,1.09,0.18,1.01,0.67
TEMP_0,0.58,0.54,0.59,0.47,0.44,0.53,0.37,0.44,0.41,0.46,0.42,0.47,0.35,0.35,0.42,0.37,1.0,0.73,1.0,0.75,0.25,1.17,0.54,1.11,0.52,1.12,1.11,,1.02,0.69
PRES_0,0.52,0.54,0.48,0.51,0.51,0.4,0.5,0.44,0.46,0.41,0.45,0.36,0.45,0.44,0.37,0.36,1.02,0.61,1.02,0.65,1.09,0.51,1.15,0.23,1.07,0.58,1.09,0.18,1.02,0.66
PRES_1,0.57,0.53,0.59,0.47,0.44,0.54,0.37,0.44,0.41,0.46,0.4,0.48,0.36,0.35,0.42,0.35,1.01,0.69,1.01,0.7,0.58,1.09,0.24,1.17,0.6,1.08,1.1,,1.01,0.71
DEWP_1,0.55,0.56,0.51,0.53,0.5,0.35,0.48,0.44,0.47,0.41,0.43,0.33,0.45,0.44,0.32,0.35,1.02,0.63,1.02,0.64,1.1,0.49,1.07,0.58,1.15,0.21,1.09,0.18,1.05,0.58
DEWP_0,0.55,0.5,0.56,0.44,0.46,0.57,0.39,0.44,0.4,0.46,0.42,0.5,0.36,0.35,0.45,0.36,1.02,0.67,1.01,0.71,0.57,1.09,0.6,1.08,0.22,1.17,1.1,,0.98,0.78
RAIN_0,0.5,0.49,0.49,0.45,0.43,0.43,0.4,0.4,0.4,0.4,0.39,0.39,0.37,0.36,0.36,0.32,0.93,0.59,0.92,0.61,0.82,0.79,0.81,0.8,0.81,0.8,1.0,0.11,0.92,0.62
RAIN_1,1.55,,,,,,,,,,,,,,,,2.18,,2.25,,2.53,,2.5,,2.56,,2.1,2.61,1.7,2.53
WSPM_0,0.55,0.54,0.53,0.49,0.42,0.34,0.41,0.43,0.43,0.4,0.4,0.34,0.39,0.39,0.31,0.35,0.94,0.65,0.94,0.66,0.85,0.81,0.85,0.81,0.87,0.79,1.03,0.15,1.02,0.44
WSPM_1,0.43,0.37,0.43,0.43,0.63,0.8,0.53,0.41,0.38,0.54,0.49,0.65,0.46,0.35,0.62,0.35,1.19,0.54,1.18,0.61,1.01,0.96,0.97,1.0,0.85,1.1,1.23,0.13,0.77,1.21
