,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.37,1.0,0.39,0.91,0.43,0.85,0.64,0.3
PRES_0,1.0,1.0,,1.0,0.39,0.91,0.43,0.85,0.64,0.3
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.37,1.0,0.46,0.91,0.43,0.85,0.64,0.31
DEWP_0,6.0,6.0,,6.74,0.26,5.35,1.78,4.73,4.09,
WSPM_0,1.05,1.05,0.39,1.04,0.47,0.95,0.47,0.89,0.65,0.31
WSPM_1,1.79,1.79,,1.8,0.46,1.65,0.63,1.47,1.29,0.52
PM10_0,1.13,1.13,0.34,1.13,0.42,1.03,0.5,0.9,0.84,0.57
PM10_1,1.45,1.45,,1.45,,1.32,0.58,1.4,0.71,0.3
PM10_2,4.13,4.13,,4.12,,3.76,1.91,4.38,2.2,0.3
