,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.71,1.0,0.64,0.87,0.41,0.84,0.66,0.38
PRES_0,1.0,1.0,,1.0,0.64,0.87,0.41,0.84,0.65,0.38
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.71,1.0,1.21,0.87,0.41,0.85,0.65,0.39
DEWP_0,5.83,5.83,,10.97,0.03,7.07,0.85,3.92,,
WSPM_0,1.05,1.05,0.64,1.04,1.13,0.9,0.52,0.9,0.66,0.39
WSPM_1,1.79,1.79,,1.8,0.34,1.71,0.35,1.39,1.47,0.78
PM10_0,1.13,1.13,0.54,1.13,0.57,0.99,0.46,0.78,1.3,1.44
PM10_1,1.45,1.45,,1.44,,1.26,0.58,2.11,0.46,0.29
PM10_2,4.13,4.13,,4.11,,3.53,2.34,6.99,1.58,0.06
