,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,28.48,1.04,3.79,1.0,18.48,1.16,1.95,1.31,1.85,2.99
TEMP_1,,,,,,,,,,,
PRES_1,0.97,27.49,1.0,3.66,0.97,18.11,1.12,1.9,1.27,1.78,2.89
PRES_0,0.26,,0.27,1.0,0.26,4.59,0.31,0.43,0.32,0.51,0.8
DEWP_0,1.0,28.45,1.03,3.78,1.0,18.46,1.16,1.95,1.31,1.85,2.99
DEWP_1,0.05,,0.06,,0.05,1.0,0.07,,,0.09,
WSPM_0,0.86,24.08,0.89,3.05,0.86,13.01,1.0,1.68,1.13,1.55,2.41
WSPM_1,0.51,,0.53,2.6,0.51,,0.59,1.0,0.66,1.09,2.52
PM10_0,0.77,20.56,0.79,3.24,0.77,,0.89,1.53,1.0,1.41,2.83
PM10_1,0.54,16.62,0.56,1.87,0.54,8.06,0.63,1.05,0.73,1.0,1.43
PM10_2,0.33,,0.34,1.32,0.33,4.76,0.39,0.49,0.36,0.63,1.0
