,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.01,0.97,0.19,1.0,0.03,0.91,0.55,0.77,0.56,0.28
TEMP_1,,,,,,,,,,,
PRES_1,1.02,0.01,1.0,0.14,1.02,0.02,0.92,0.57,0.8,0.56,0.28
PRES_0,1.95,,1.56,0.97,1.95,0.08,1.81,0.81,1.22,1.38,0.72
DEWP_0,1.0,0.01,0.97,0.19,1.0,0.02,0.91,0.55,0.78,0.56,0.28
DEWP_1,4.3,,4.28,,4.3,0.86,4.1,,,2.52,
WSPM_0,1.08,0.02,1.05,0.2,1.08,0.02,0.99,0.53,0.81,0.63,0.3
WSPM_1,1.4,,1.35,0.29,1.4,,1.2,0.97,1.16,0.7,0.42
PM10_0,1.14,0.01,1.11,0.19,1.14,,1.02,0.72,0.99,0.53,0.21
PM10_1,1.36,0.02,1.31,0.29,1.36,0.03,1.26,0.59,0.95,0.97,0.37
PM10_2,1.73,,1.65,0.41,1.73,0.06,1.61,0.51,0.66,1.05,0.96
