,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.0,0.98,0.99,0.9,0.88,0.86,0.79,0.82,0.83,0.82,0.91,0.84,0.75,0.77,0.8,0.85,1.56,1.11,1.55,1.18,1.41,1.4,1.41,1.37,1.41,1.39,1.64,0.41,1.55,1.08
E,1.01,1.0,1.0,0.93,0.9,0.86,0.85,0.82,0.87,0.84,0.88,0.82,0.81,0.78,0.74,0.79,1.59,1.09,1.59,1.15,1.43,1.42,1.42,1.42,1.43,1.43,1.67,0.34,1.58,1.13
NE,1.0,0.98,1.0,0.9,0.95,0.95,0.84,0.85,0.85,0.81,0.95,0.83,0.75,0.74,0.8,0.88,1.59,1.17,1.57,1.23,1.43,1.41,1.45,1.4,1.45,1.42,1.67,0.45,1.58,1.08
ESE,1.09,1.07,1.05,1.0,0.95,0.85,0.89,0.95,0.94,0.94,0.93,0.88,0.89,0.84,0.8,0.78,1.7,1.17,1.68,1.23,1.55,1.48,1.52,1.49,1.52,1.51,1.78,0.33,1.68,1.27
SW,1.16,1.12,1.07,1.06,1.0,1.06,1.01,0.98,0.95,1.05,0.89,1.0,0.98,0.96,0.97,0.75,1.73,1.15,1.73,1.08,1.61,1.52,1.53,1.63,1.52,1.6,1.81,0.35,1.72,1.38
NW,1.12,1.16,1.07,1.23,1.01,1.0,1.11,0.91,1.04,0.9,0.89,0.89,0.92,0.99,0.88,0.82,1.7,2.14,1.69,1.73,1.55,1.53,1.68,1.51,1.72,1.53,1.82,0.59,1.73,1.29
SSW,1.27,1.2,1.23,1.15,1.05,1.09,1.0,1.17,1.01,1.13,0.92,1.0,0.96,0.98,1.02,0.79,1.83,1.26,1.82,1.24,1.7,1.64,1.63,1.75,1.62,1.67,1.91,,1.82,1.46
NNE,1.19,1.14,1.16,1.06,1.0,1.05,0.88,1.0,0.88,0.97,1.01,0.99,0.78,0.78,0.92,0.91,1.8,1.42,1.79,1.48,1.64,1.66,1.68,1.6,1.69,1.59,1.92,0.68,1.8,1.22
SE,1.19,1.13,1.14,1.06,1.09,0.98,1.01,1.11,1.0,1.08,0.97,0.89,0.97,0.96,0.8,0.83,1.85,1.23,1.85,1.28,1.71,1.63,1.64,1.67,1.63,1.64,1.93,0.35,1.83,1.51
N,1.19,1.15,1.19,1.04,1.03,1.06,0.91,1.02,0.93,1.0,0.93,0.99,0.92,0.89,0.89,0.78,1.81,1.57,1.8,1.56,1.68,1.63,1.71,1.58,1.72,1.61,1.93,,1.82,1.3
WSW,0.99,1.05,0.96,1.01,1.18,1.21,1.21,0.95,1.01,1.04,1.0,1.06,1.14,1.05,0.97,0.83,1.88,1.14,1.88,1.14,1.74,1.56,1.65,1.73,1.62,1.74,1.96,0.47,1.84,1.6
NNW,1.21,1.22,1.22,1.09,1.03,1.09,1.06,1.02,1.11,1.01,0.93,1.0,1.02,1.01,0.98,0.76,1.85,2.12,1.83,1.89,1.71,1.64,1.79,1.64,1.84,1.64,1.98,,1.87,1.4
S,1.32,1.26,1.29,1.18,1.08,1.17,1.03,1.27,1.06,1.15,0.98,1.01,1.0,0.97,1.01,0.82,1.94,1.3,1.94,1.32,1.78,1.72,1.72,1.8,1.72,1.73,2.02,,1.91,1.53
SSE,1.31,1.26,1.33,1.24,1.11,1.04,1.04,1.25,1.04,1.18,0.99,1.04,1.05,1.0,0.92,0.84,1.98,1.33,1.98,1.39,1.83,1.71,1.77,1.82,1.76,1.77,2.06,0.43,1.95,1.57
WNW,1.34,1.3,1.27,1.26,1.06,1.18,1.09,1.14,1.19,1.11,1.07,1.03,1.06,1.1,1.0,1.02,1.94,2.1,1.92,1.79,1.8,1.76,1.85,1.73,1.91,1.74,2.08,,1.98,1.46
W,1.17,1.18,1.14,1.23,1.37,1.34,1.29,1.04,1.19,1.21,1.24,1.28,1.25,1.17,1.07,1.0,2.12,1.39,2.11,1.41,1.94,1.85,1.91,1.91,1.88,1.89,2.23,,2.13,1.76
PM2.5_0,0.64,0.62,0.63,0.58,0.57,0.6,0.54,0.55,0.53,0.56,0.53,0.55,0.51,0.5,0.53,0.47,1.0,0.73,1.0,0.74,0.92,0.88,0.91,0.9,0.91,0.9,1.05,0.26,1.0,0.77
PM2.5_1,0.9,0.9,0.86,0.86,0.86,0.58,0.83,0.72,0.82,0.64,0.82,0.56,0.79,0.76,0.51,0.66,1.38,1.0,1.34,1.03,1.26,1.23,1.24,1.23,1.24,1.21,1.45,,1.38,0.86
PM10_0,0.64,0.63,0.63,0.59,0.57,0.61,0.54,0.56,0.53,0.57,0.53,0.56,0.51,0.5,0.53,0.47,1.0,0.74,1.0,0.75,0.92,0.89,0.92,0.9,0.91,0.9,1.06,0.26,1.0,0.77
PM10_1,0.87,0.87,0.84,0.82,0.88,0.6,0.83,0.7,0.8,0.63,0.85,0.57,0.79,0.75,0.54,0.67,1.36,0.96,1.34,1.0,1.23,1.2,1.21,1.2,1.21,1.2,1.42,,1.35,0.9
TEMP_1,0.71,0.7,0.7,0.65,0.63,0.64,0.6,0.61,0.6,0.6,0.58,0.59,0.57,0.55,0.56,0.52,1.09,0.8,1.08,0.81,1.0,0.97,0.99,0.98,0.99,0.98,1.15,0.26,1.09,0.82
TEMP_0,0.71,0.7,0.7,0.67,0.66,0.65,0.63,0.6,0.62,0.61,0.61,0.6,0.59,0.58,0.56,0.53,1.13,0.81,1.12,0.84,1.03,1.0,1.02,1.01,1.02,1.01,1.19,,1.12,0.85
PRES_0,0.7,0.7,0.69,0.65,0.66,0.62,0.62,0.59,0.61,0.58,0.61,0.57,0.59,0.57,0.54,0.52,1.1,0.8,1.09,0.81,1.01,0.97,1.0,0.98,1.0,0.99,1.16,0.27,1.1,0.82
PRES_1,0.72,0.7,0.71,0.66,0.62,0.67,0.59,0.62,0.6,0.62,0.58,0.61,0.56,0.56,0.58,0.52,1.12,0.81,1.11,0.84,1.02,0.99,1.02,1.0,1.02,1.0,1.18,0.29,1.11,0.84
DEWP_1,0.71,0.7,0.69,0.66,0.66,0.61,0.62,0.59,0.61,0.59,0.61,0.56,0.58,0.57,0.54,0.52,1.1,0.79,1.09,0.82,1.01,0.98,1.0,0.98,1.0,0.99,1.16,0.27,1.1,0.82
DEWP_0,0.72,0.7,0.7,0.65,0.63,0.67,0.6,0.63,0.6,0.62,0.58,0.61,0.58,0.56,0.58,0.52,1.12,0.82,1.11,0.83,1.02,0.99,1.01,1.0,1.01,1.0,1.18,,1.11,0.85
RAIN_0,0.61,0.6,0.6,0.56,0.55,0.55,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.48,0.48,0.45,0.95,0.69,0.94,0.71,0.87,0.84,0.86,0.85,0.86,0.85,1.0,0.23,0.95,0.71
RAIN_1,2.62,2.61,2.22,2.73,,,,1.64,2.49,,,,,,,,4.1,,4.12,,3.84,,3.77,,3.76,,4.37,1.0,4.04,3.73
WSPM_0,0.64,0.63,0.62,0.59,0.59,0.58,0.55,0.54,0.55,0.54,0.55,0.53,0.53,0.51,0.49,0.47,1.0,0.7,1.0,0.73,0.92,0.89,0.91,0.9,0.9,0.9,1.06,0.25,1.0,0.75
WSPM_1,0.92,0.9,0.9,0.8,0.75,0.79,0.74,0.77,0.72,0.76,0.68,0.72,0.69,0.7,0.71,0.62,1.33,1.36,1.32,1.14,1.23,1.18,1.25,1.19,1.26,1.19,1.4,0.31,1.33,1.0
