,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,3.13,2.02,2.33,1.15,0.44,0.47,0.41,1.54,0.8,1.04,0.62,0.66,0.46,0.6,0.51,0.76,0.6,1.54,0.63,1.48,0.8,1.21,0.86,1.16,1.0,0.92,0.61,1.32,5.24,0.41
E,2.0,2.63,1.28,2.04,0.55,0.4,0.59,0.93,1.33,0.8,0.63,0.54,0.76,0.96,0.47,0.71,0.6,1.44,0.64,1.4,0.99,0.95,1.09,0.92,1.26,0.75,,1.12,11.29,0.42
NE,1.98,1.17,3.42,0.79,0.49,0.72,0.34,1.85,0.69,1.18,0.6,0.72,0.36,0.41,0.57,0.83,0.7,1.27,0.68,1.18,0.63,1.5,0.67,1.45,0.82,1.16,0.56,1.22,2.82,0.46
ESE,1.25,2.16,0.81,2.8,0.6,0.27,0.8,0.77,2.17,0.6,0.55,0.4,1.21,1.47,0.44,0.66,0.66,1.45,0.68,1.4,1.31,0.76,1.27,0.8,1.56,0.66,,1.36,4.92,0.67
SW,0.42,0.49,0.42,0.63,5.77,0.49,3.63,0.36,0.88,0.34,2.72,0.34,2.09,1.33,0.71,1.34,1.85,0.7,1.75,0.75,1.7,0.66,1.29,0.8,1.14,0.93,,,0.88,2.01
NW,0.36,0.3,0.52,0.28,0.35,9.84,0.27,0.67,0.24,1.36,0.51,3.76,0.2,0.23,4.81,1.03,2.84,0.48,2.01,0.68,0.51,2.04,0.59,1.76,0.39,2.96,0.26,0.84,0.18,4.58
SSW,0.47,0.64,0.34,0.96,3.63,0.27,5.22,0.45,1.4,0.37,1.55,0.31,3.66,2.38,0.53,0.91,1.45,0.88,1.57,0.83,2.36,0.49,1.83,0.58,1.67,0.61,,,1.91,1.66
NNE,1.74,1.05,2.42,0.76,0.36,0.96,0.31,3.15,0.48,2.17,0.66,1.67,0.31,0.35,0.79,0.79,1.01,0.89,1.09,0.87,0.9,1.08,1.01,0.97,1.13,0.83,,1.74,1.42,0.63
SE,0.76,1.24,0.66,2.32,0.97,0.27,1.32,0.63,3.49,0.48,0.59,0.27,1.87,2.88,0.27,0.56,0.85,1.34,0.9,1.29,1.42,0.78,1.29,0.77,1.43,0.72,,1.1,6.21,0.81
N,1.07,0.74,1.49,0.52,0.38,1.63,0.32,2.29,0.37,3.77,0.5,3.16,0.36,0.43,1.06,0.64,1.12,0.83,1.19,0.81,0.74,1.33,0.81,1.19,0.79,1.27,0.58,1.03,0.66,1.11
WSW,0.38,0.46,0.34,0.47,4.41,0.71,2.33,0.39,0.62,0.49,6.24,0.44,1.3,0.96,1.08,2.79,2.59,0.54,2.18,0.57,1.32,0.76,1.17,0.87,1.0,1.11,,,0.87,1.63
