,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.21,1.0,0.34,1.03,1.26,1.04,1.05,0.64
PRES_0,1.0,1.0,0.18,1.0,0.34,1.03,1.26,1.04,1.05,0.64
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.22,1.0,0.29,1.03,1.26,1.04,1.05,0.64
DEWP_0,1.57,1.57,,1.57,4.35,1.62,2.2,1.7,1.91,2.34
WSPM_0,1.01,1.01,0.26,1.01,0.29,1.05,1.26,1.05,1.06,0.63
WSPM_1,1.21,1.21,,1.22,0.65,1.25,1.67,1.26,1.36,0.91
PM10_0,1.04,1.04,0.27,1.04,0.41,1.07,1.35,1.12,0.99,0.57
PM10_1,1.13,1.13,,1.13,0.2,1.16,1.32,1.11,1.42,0.88
PM10_2,1.6,1.6,,1.61,,1.66,1.88,1.52,2.06,3.44
